item,count,ref_nos
result for construction of 1 no. e type staff qtr. at garadpur fire station in kendrapara district.,1,"[""['07/OPHWC/2024-25']""]"
cluster of 1. construction of office cum residence at- kantabanji,1,"[""['25/OPHWC/2022-23']""]"
bolangir,1,"[""['25/OPHWC/2022-23']""]"
2. construction of muribahal ps building,1,"[""['25/OPHWC/2022-23']""]"
dhenkanal,1,"[""['39 /OPHWC/2021-22']""]"
construction of 6 nos. f type qtr. at gandia f. s.,1,"[""['39 /OPHWC/2021-22']""]"
constn. of 50 capacity addl. ward 25x2 at dist. jail angul,1,"[""['41/OPHWC/2022-23']""]"
3. construction of 6 nos. of modern class room,1,"[""['19/OPHWC/2022-23']""]"
two storied building with seating capacity of 50 trainees at angul,1,"[""['19/OPHWC/2022-23']""]"
2. construction of sadar ps building at angul,1,"[""['19/OPHWC/2022-23']""]"
cluster of 1. construction of banarpal ps building at angul,1,"[""['19/OPHWC/2022-23']""]"
constn of 3 nos d type qtr for civil judge ( jd )- cum- jmfc at jagatsinghpur,1,"[""['24/OPHWC/2021-22']""]"
keonjhar,1,"[""['26/OPHWC/2022-23']""]"
construction of nandipada ps,1,"[""['26/OPHWC/2022-23']""]"
4. construction of 30 women barrack at ro,1,"[""['17/OPHWC/2022-23']""]"
cluster of 1. construction of 2 d type qtrs at dist. hdqtrs,1,"[""['17/OPHWC/2022-23']""]"
2. construction of office of zonal dsp spl branch,1,"[""['17/OPHWC/2022-23']""]"
3. construction of ps building at chandipur,1,"[""['17/OPHWC/2022-23']""]"
balasore,1,"[""['17/OPHWC/2022-23']""]"
nowarangpur,1,"[""['17/OPHWC/2022-23']""]"
cluster of 1. construction of dfsl building at nowarangpur,1,"[""['17/OPHWC/2022-23']""]"
2. construction of 2 d type qtrs at dist. hdqtr,1,"[""['17/OPHWC/2022-23']""]"
bhubaneswar,2,"[""['15/OPHWC/2021-22']"", ""['06/OPHWC/2021-22']""]"
gate at ouat,1,"[""['15/OPHWC/2021-22']""]"
boundary wall with c. c road,1,"[""['15/OPHWC/2021-22']""]"
kalahandi,1,"[""['20/OPHWC/2021-22']""]"
const of 50 capacity additional wards ( 25x2 ) at sub jail dharmagarh,1,"[""['20/OPHWC/2021-22']""]"
construction of 100 trainees hostel ( first floor ) at- aeti,1,"[""['30/OPHWC/2022-23']""]"
koraput,2,"[""['25/OPHWC/2022-23']"", ""['30/OPHWC/2022-23']""]"
construction of 300 men barrack ( second floor ) at- aeti,1,"[""['25/OPHWC/2022-23']""]"
construction of 20 bedded additional hospital ward inside special jail,1,"[""['06/OPHWC/2021-22']""]"
khurda,1,"[""['06/OPHWC/2021-22']""]"
two nos. gate with rcc columns at cti building at naraj,1,"[""['01/OPHWC/2015-16']""]"
constn. of boundary wall,1,"[""['01/OPHWC/2015-16']""]"
cuttack,1,"[""['01/OPHWC/2015-16']""]"
constn. of district court bldg. at malkangiri,1,"[""['02/OPHWC/2014-15']""]"
