url,title,organisation,ref_no,tender_id,state,stage,status_update_date,company_name,bid_amount,bid_rank,region,result_bid_value
https://app.palladium.primenumbers.in/result/detail/18183921334380879691,"AMC PC, AMC MFM, AMC Printer ', AMC Scanner, AMC EPBAC, AMC Laptop, AMC Networking",special economic zones,['GEM/2022/B/1873415'],,gujarat,Financial Evaluation,10-03-2022 00:00,SHIVAM COMPUTERS,,,West,
https://app.palladium.primenumbers.in/result/detail/2924138549945374324,"AMC 1, AMC 2, AMC 3, AMC 4, AMC 5",garden reach shipbuilders and engineers limited,['GEM/2024/B/5146542'],,west bengal,Financial Evaluation,24-08-2024 00:00,SYMETRIC SOLUTIONS,33036.01,L1,East,33036.01
https://app.palladium.primenumbers.in/result/detail/6854405514767309153,"AMC, AOC, AMC, AOC, AMC, AOC, MAINTENANCE ITEM- 1, MAINTENANCE ITEM- 2, MAINTENANCE ITEM- 3, MAINTENANCE ITEM- 4",sanjay gandhi post graduate institute of medical sciences lucknow,"['GEM/2022/B/2072314', 'GEM/2022/R/124195']",,uttar pradesh,Financial Evaluation,07-04-2022 00:00,ABHAY FIRE ENGINEERING & SERVICES PRIVATE LIMITED,1296935.99,L2,North,1294824
https://app.palladium.primenumbers.in/result/detail/5046926298205928987,"AMC of Acer Veriton, AMC of HP, AMC of SIS, AMC of Old Acer, AMC of Acer, AM of HP, AMC of Ca",department of health and family welfare,['GEM/2022/B/2513771'],,gujarat,Financial Evaluation,22-09-2022 00:00,NEEMI SYSTEM & SERVICE,167900,L1,West,1550
https://app.palladium.primenumbers.in/result/detail/9860300981607202051,"AMC for Chillers 1, AMC for Chillers 2, AMC for Chillers 3, AMC for Chillers 4, AMC for Chillers 5, AMC",department of heavy industry,['GEM/2024/B/4712644'],,karnataka,Financial Evaluation,18-03-2024 00:00,VOLTAS LIMITED,324736,L1,South,324736
https://app.palladium.primenumbers.in/result/detail/13687677184402381961,"TUMBLING OVEN, VACCUM OVEN, AMC 1, AMC 2, AMC 3, AMC 5, AMC 6, AMC 7",bharat petroleum corporation limited,['GEM/2023/B/4035082'],,uttar pradesh,Financial Evaluation,31-10-2023 00:00,ACCUMAX INDIA,,,North,5149865
https://app.palladium.primenumbers.in/result/detail/14798676534920822105,"AMC for the maintenance of CNC Vertical Machining Centre, AMC for the maintenance of nine numbers of",defence research and development organisation,['GEM/2023/B/4265589'],,karnataka,Financial Evaluation,09-01-2024 00:00,UPANAL  CNC  SOLUTIONS,,,South,403560
https://app.palladium.primenumbers.in/result/detail/15807679515355945516,"AMC, AOC, MAINTENANCE ITEM- 1, MAINTENANCE ITEM- 2, MAINTENANCE ITEM- 3, MAINTENANCE ITEM- 4",sanjay gandhi post graduate institute of medical sciences lucknow,['GEM/2023/B/3000346'],,uttar pradesh,Financial Evaluation,27-01-2023 00:00,M/s ADD ENTERPRISES,,,North,2316270
https://app.palladium.primenumbers.in/result/detail/11701225932885004465,"AMC, AOC, MAINTENANCE ITEM- 1, MAINTENANCE ITEM- 2, MAINTENANCE ITEM- 3, MAINTENANCE ITEM- 4",sanjay gandhi post graduate institute of medical sciences lucknow,['GEM/2022/B/2072314'],,uttar pradesh,Financial Evaluation,07-04-2022 00:00,ABHAY FIRE ENGINEERING & SERVICES PRIVATE LIMITED,,,North,
https://app.palladium.primenumbers.in/result/detail/17487437056754375627,"Motor Maintenance, Pump Maintenance, Kitket Maintenance, cable Maintenance From kitket to Motor, Loring",urban development department,['GEM/2024/B/4724257'],,uttar pradesh,Financial Evaluation,12-03-2024 00:00,S S POWER SYSTEM,,,North,23490
https://app.palladium.primenumbers.in/result/detail/13037288645288793345,"MAINTENANCE ITEM, MAINTENANCE IT",urban development department,['GEM/2023/B/3083221'],,uttar pradesh,Financial Evaluation,14-02-2023 00:00,PARCO ELECTRICALS,1409690,L3,North,1398498
https://app.palladium.primenumbers.in/result/detail/3990333539004686689,"ICICPMS, SPARES, AMC 1, AMC 2, AMC 3",bharat petroleum corporation limited,['GEM/2024/B/4488295'],,uttar pradesh,Financial Evaluation,28-02-2024 00:00,BASIL BIOSOLUTIONS,52864960,L1,North,52864960
https://app.palladium.primenumbers.in/result/detail/10807109860561392263,"VISCOMETER, SPARES, AMC 1, AMC 2, AMC 3",bharat petroleum corporation limited,['GEM/2023/B/4040902'],,uttar pradesh,Financial Evaluation,09-11-2023 00:00,ANTON PAAR INDIA PRIVATE LIMITED,6858643.8,L1,North,6858644
https://app.palladium.primenumbers.in/result/detail/1777278298188711734,"Quarter 1- AMC, Quarter 2- AMC, Quarter 3- AMC, Quarter 4. 1- AMC, Quarter 4. 2- AMC",department of school education and literacy,['GEM/2023/B/4302439'],,uttar pradesh,Financial Evaluation,16-12-2023 00:00,RANIAL APPLIANCES,551000,L5,North,391020
https://app.palladium.primenumbers.in/result/detail/6407787701077086192,"POUR AND CLOUD, INST, AMC 1, AMC 2, AMC 3",bharat petroleum corporation limited,['GEM/2023/B/3962036'],,uttar pradesh,Financial Evaluation,20-10-2023 00:00,LABCON SCIENTIFIC INSTRUMENTS P LTD,3175002,L1,North,3175002
https://app.palladium.primenumbers.in/result/detail/13606253184423517992,"Result For Custom Bid for Services- Comprehensive Annual, Maintenance Contract of Escalator Job E4846 Installed At, Bareilly Station Which Includes Routine Preventive, Maintenance And Breakdown Maintenance For First Year, Maintenance Contract of Escalator Job E4847 Installed At, Maintenance And Breakdown Maintenance For Second Year, Maintenance And Breakdown Maintenance For Third Year, Maintenance And Breakdown Maintenance For Fourth Year, Maintenance And Breakdown Maintenance For Fifth Year",northern railway,['GEM/2025/B/6166727'],,uttar pradesh,Financial Evaluation,30-05-2025 00:00,,,,North,
https://app.palladium.primenumbers.in/result/detail/14168504577433597679,"Annual Maintenance Charges, Annual Maintenance",department of defence,['GEM/2022/B/2814346'],,uttar pradesh,Financial Evaluation,26-12-2022 00:00,SICURO INFOSYSTEM PRIVATE LIMITED,250334,L1,North,250334
https://app.palladium.primenumbers.in/result/detail/14398890181753047782,"Computer AMC, Laser Printer AMC",department of financial services,['GEM/2022/B/1900765'],,uttar pradesh,Financial Evaluation,07-02-2022 00:00,M/S MARUTI ENTERPRISES,,,North,
https://app.palladium.primenumbers.in/result/detail/795399491609537034,"SCADA workstation, AMC for 2nd year, AMC for 3rd year, AMC for 4th year, AMC for 5th year",bharat petroleum corporation limited,['GEM/2024/B/4567388'],,uttar pradesh,Financial Evaluation,23-02-2024 00:00,VARDAAN TECHNOLOGIES PRIVATE LIMITED,271400,L1,North,271400
https://app.palladium.primenumbers.in/result/detail/11818754555582887737,"AMC of Compressor sl FS6210405, AMC of Compressor FS447, AMC of Compr FAS699 by 700 by 701 by 702, AMC",security printing and minting corporation of india limited,['GEM/2023/B/3416545'],,west bengal,Financial Evaluation,17-06-2023 00:00,TRADETECH,70800,L1,East,70800
https://app.palladium.primenumbers.in/result/detail/13281686863926790272,"AMC of Compressor sl FS6210405, AMC of Compressor FS447, AMC of Compr FAS699 by 700 by 701 by 702, AMC",security printing and minting corporation of india limited,['GEM/2023/B/3178427'],,west bengal,Financial Evaluation,27-03-2023 00:00,,,,East,
https://app.palladium.primenumbers.in/result/detail/9434582917365653493,"AMC of 15 Ltr Kent RO, AMC of 15 Ltr Aquaguard, AMC of 15 Ltr Aquafresh, AMC of 25 Ltr RO Plant, AMC of",ministry of defence,['GEM/2023/B/3737005'],,uttar pradesh,Financial Evaluation,10-08-2023 00:00,,,,North,
https://app.palladium.primenumbers.in/result/detail/11089779249242448638,"Result For Customized AMC/ CMC for Pre- owned Products- AMC of, Vickers cum Brinell Hardness Tester; AMC of Vickers cum, Brinell Hardness Tester; Annual Maintenance Contract, AMC; Quarterly; Yes, Customized AMC/ CMC for Pre- owned, Products- AMC of Vickers Hardness Tester; AMC of Vickers, Hardness Tester; Annual Maintenance Contract, AMC;, Quarterly; Yes, Products- AMC of Digital Rockwell Hardness Tester; AMC of, Digital Rockwell Hardness Tester; Annual Maintenance, Contract",security printing and minting corporation of india limited,['GEM/2025/B/6001552'],,west bengal,Financial Evaluation,01-04-2025 00:00,,,,East,
https://app.palladium.primenumbers.in/result/detail/12470893710158976748,"Comprehensive maintenance of Split AC, Comprehensive maintenance of AFD system, Comprehensive mainten",bharat sanchar nigam limited,['GEM/2024/B/5624883'],,west bengal,Financial Evaluation,05-12-2024 00:00,S B KAMAL & SONS,,,East,
https://app.palladium.primenumbers.in/result/detail/16525337478141261047,"Comprehensive maintenance of Split AC, Comprehensive maintenance of AFD system, Comprehensive mainten",bharat sanchar nigam limited,['GEM/2024/B/5483642'],,west bengal,Financial Evaluation,18-10-2024 00:00,SHARMA INDUSTRIES,,,East,
https://app.palladium.primenumbers.in/result/detail/1493488182224854731,Custom Bid for Services- Annual Maintenance Contract AMC for Operation and Maintenance of Centrali,hindustan aeronautics limited,['GEM/2023/B/3359906'],,karnataka,Financial Evaluation,08-05-2023 00:00,HYDRO PNEUMATIC ENGINEERS (HYD) PRIVATE LIMITED,,,South,3540000
https://app.palladium.primenumbers.in/result/detail/11718073090764186183,"Plotter, AMC Option 1, AMC Option 2, AMC Option 3",department of heavy industry,['GEM/2022/B/2851636'],,karnataka,Financial Evaluation,28-12-2022 00:00,Indi Innovation and Solutions,,,South,
https://app.palladium.primenumbers.in/result/detail/11465348255315967708,"Surface floating Aerator, AMC 1 year, AMC 2 year, AMC 3 year, AMC 4 year",department of health and family welfare,['GEM/2023/B/3933880'],,gujarat,Financial Evaluation,18-09-2023 00:00,SHREE VAJRAA SUPPLIERS,14200500,L1,West,14200500
https://app.palladium.primenumbers.in/result/detail/11297944525465893639,AMC,uttar pradesh power corporation limited,['GEM/2022/B/2757370'],,uttar pradesh,Financial Evaluation,28-11-2022 00:00,M/S D M SALES & SERVICES,49288.6,L1,North,49288.6
https://app.palladium.primenumbers.in/result/detail/13756513302521394944,Customized AMC/ CMC for Pre- owned Products---;--; Annual Maintenance Contract ( AMC ); Annually; No,prisons administration and reforms department uttar pradesh n a prisons administration and reform department up,"['GEM/2025/B/5914084', 'GEM/2025/R/454317']",,uttar pradesh,Financial Evaluation,22-02-2025 00:00,M/S HOMBIZ SECURITY CONSULTANTS,,,North,
https://app.palladium.primenumbers.in/result/detail/16380112997323029485,"Comprehensive AMC for IT Infrastructre, Comprehensive AMC for Audio Video Sys, Comprehensive AMC for",ministry of defence,['GEM/2023/B/4060458'],,karnataka,Financial Evaluation,30-10-2023 00:00,SV2 Technologies,,,South,3300000
https://app.palladium.primenumbers.in/result/detail/1069016247303467264,Custom Bid for Services- Annual Maintenance Contract AMC for maintenance of Fire Detection Suppre,ministry of railway,['GEM/2023/B/3800618'],,uttar pradesh,Financial Evaluation,23-08-2023 00:00,IMPACT FIRE AND SAFETY APPLIANCES PRIVATE LIMITED,,,North,13312804
https://app.palladium.primenumbers.in/result/detail/6065594521879459544,Custom Bid for Services- Annual Maintenance Contract AMC including Preventive Maintenance of intrac,power grid corporation of india limited,['GEM/2021/B/1224117'],,karnataka,Financial Evaluation,28-06-2021 00:00,SH INFRANET MANAGEMENT SOLUTIONS LLP,,,South,
https://app.palladium.primenumbers.in/result/detail/5827720114207918128,Result For Customized AMC/ CMC for Pre- owned Products- AMC of GMS and ILSD; Pentax; Annual Maintenance Contract ( AMC ); Quarterly; No,indian oil corporation limited,['GEM/2025/B/6144973'],,uttar pradesh,Financial Evaluation,29-04-2025 00:00,PENTAX ENGINEERING PRIVATE LIMITED,886400,L1,North,886400
https://app.palladium.primenumbers.in/result/detail/13000833012060620277,"Gas Detector, AMC Year 1 after Warranty, AMC Year 2 after Warranty, AMC Year 3 after Warranty, AMC Year",bharat petroleum corporation limited,['GEM/2024/B/4921752'],,uttar pradesh,Financial Evaluation,10-06-2024 00:00,AMBETRONICS ENGINEERS PRIVATE LIMITED,310340,L1,North,310340
https://app.palladium.primenumbers.in/result/detail/14981488627969560887,"NEW COMPRESSOR FOR AIR FILLING, AMC for 1st Year, AMC for 2nd Year, AMC for 3rd Year, AMC for 4th Year,",garden reach shipbuilders and engineers limited,"['GEM/2024/B/4455898', 'GEM/2024/R/323060']",,west bengal,Financial Evaluation,29-03-2024 00:00,TAL SALES PVT LTD,330034.2,L1,East,330034.2
