url,title,organisation,ref_no,tender_id,state,stage,status_update_date,company_name,bid_amount,bid_rank,region,result_bid_value
https://app.palladium.primenumbers.in/result/detail/11316946795772289403,"AMC 1, AMC 2, AMC 3, AMC 4",government of madhya pradesh,['GEM/2022/B/2069444'],,madhya pradesh,Financial Evaluation,05-04-2022 00:00,LN ENTERPRISES,,,West,
https://app.palladium.primenumbers.in/result/detail/13243352428194072419,"AMC 1, AMC 2, AMC 3, AMC 4, GST",national institute of ocean technology,['GEM/2024/B/4652946'],,tamil nadu,Financial Evaluation,08-03-2024 00:00,,,,South,
https://app.palladium.primenumbers.in/result/detail/5412166030602477942,"AMC for HPT, Refilling and Maintenance of different type of Fire Extinguishers, AMC for maintenance o",ministry of agriculture and farmers welfare,['GEM/2022/B/2230774'],,madhya pradesh,Financial Evaluation,13-06-2022 00:00,M/S SAMARTH MARKETING,,,West,353410.4
https://app.palladium.primenumbers.in/result/detail/8602334187362166909,HARDWARE SOFTWARE MAINTENANCE AMC,government of madhya pradesh,['GEM/2023/B/3624193'],,madhya pradesh,Financial Evaluation,20-07-2023 00:00,VENUS TECHNICAL SYSTEMS,,,West,80500
https://app.palladium.primenumbers.in/result/detail/12439658321049342666,"Helium gasCost, Maintenance charges- 1, Maintenance charges- 2, Maintenance charges- 3, Maintenance charge",department of atomic energy,['GEM/2023/B/3970171'],,telangana,Financial Evaluation,12-10-2023 00:00,AAM AAN KAY GASES PRIVATE LIMITED,,,South,
https://app.palladium.primenumbers.in/result/detail/15701968158280213395,Custom Bid for Services- AMC for carrying out Preventive Maintenance and Breakdown Maintenance of,hindustan aeronautics limited,['GEM/2022/B/2068172'],,odisha,Financial Evaluation,15-04-2022 00:00,HYDRO PNEUMATIC ENGINEERS (HYD) PRIVATE LIMITED,,,East,
https://app.palladium.primenumbers.in/result/detail/14561571954400829359,Result For Customized AMC/ CMC for Pre- owned Products- AMC of CCS NIAM Website; AMC of Website; Annual Maintenance Contract ( AMC ); Monthly; No,national institute of agricultural marketing,['GEM/2025/B/5894999'],,rajasthan,Financial Evaluation,18-02-2025 00:00,NETBEANS SYSTEMS PRIVATE LIMITED,,,West,199000
https://app.palladium.primenumbers.in/result/detail/12575412851153840579,AMC/ REAPIR & MAINTENANCE OF SRE EQUIPMENTS,ministry of defence,['GEM/2024/B/4605362'],,madhya pradesh,Financial Evaluation,19-02-2024 00:00,UNIQUE SECURITY SYSTEM,,,West,
https://app.palladium.primenumbers.in/result/detail/10043429849961488005,"UPS, Lithium Ion Batteries, AMC 1st Year, AMC 2nd Year, AMC 3rd Year, AMC 4th Year, AMC 5th Year",ministry of finance,"['GEM/2025/B/6255584', 'GEM/2025/R/502809']",,telangana,Financial Evaluation,23-06-2025 00:00,PINNACLE TECHNO SOLUTIONS,5692040,L1,South,5692040
https://app.palladium.primenumbers.in/result/detail/4089505424350090507,"Repair and Maintenance of Tyre Buster, Repair and Maintenance of Bollard, Repair and Maintenance of C",ministry of defence,['GEM/2023/B/3034602'],,punjab,Financial Evaluation,04-02-2023 00:00,AMV ENTERPRISES,,,North,
https://app.palladium.primenumbers.in/result/detail/4943745870353279965,"AMC Fire Engines, AMC 125 KVA, AMC 500 KVA, 4 Hours running Test, Breakdown Maintenance",hindustan petroleum corporation limited,['GEM/2024/B/4522125'],,kerala,Financial Evaluation,02-02-2024 00:00,ELECTRO CONTROLS,,,South,
https://app.palladium.primenumbers.in/result/detail/13977330274502485897,AMC,ministry of science and technology,['GEM/2023/B/3194131'],,tamil nadu,Financial Evaluation,20-03-2023 00:00,,,,South,
https://app.palladium.primenumbers.in/result/detail/5007321283177599823,AMC,central warehousing corporation,['GEM/2022/B/2681901'],,rajasthan,Financial Evaluation,07-11-2022 00:00,MG FIRE RESCUE,,,West,
https://app.palladium.primenumbers.in/result/detail/4680164444225716370,Maintenance Spares for the maintenance of BE- 700 model Backhoe,neyveli lignite corporation india limited,['GEM/2023/B/2979964'],,tamil nadu,Financial Evaluation,02-02-2023 00:00,BEML LIMITED,8583146,L1,South,8583146
https://app.palladium.primenumbers.in/result/detail/12130633073675201489,ANNUAL MAINTENANCE SERVICE ( AMC ) FOR CCTV SYSTEM,ministry of defence,['GEM/2020/B/826106'],,haryana,Financial Evaluation,21-10-2020 00:00,Tryend Secure,,,North,
https://app.palladium.primenumbers.in/result/detail/2704396289356067169,"Product Maintenance Service, Product Maintenance Service",ministry of labour and employment,['GEM/2020/B/787427'],,tamil nadu,Financial Evaluation,28-09-2020 00:00,SIM POWER CONTROLS,,,South,0.07
https://app.palladium.primenumbers.in/result/detail/8185841758805964882,Customized AMC/ CMC for Pre- owned Products---;--; Annual Maintenance Contract ( AMC ); Monthly; No,indian navy,['GEM/2024/B/5472891'],,kerala,Financial Evaluation,28-10-2024 00:00,KPS AGENCIES,,,South,
https://app.palladium.primenumbers.in/result/detail/1560169429592828729,"1. General Maintenance of All Sheds, General Maintenance of Soap Trays, General Maintenance of Roads",hindustan petroleum corporation limited,['GEM/2024/B/5081802'],,telangana,Financial Evaluation,13-07-2024 00:00,VENKAT ENTERPRISES,,,South,14333440
https://app.palladium.primenumbers.in/result/detail/2581105356389711987,Customized AMC/ CMC for Pre- owned Products- ANNUAL MAINTENANCE CONTRACT AMC FOR REPAIRINGCALIBRATIO,food corporation of india,['GEM/2024/B/4958981'],,rajasthan,Financial Evaluation,27-05-2024 00:00,Shreeji Agro Equipments,13500,L1,West,13500
https://app.palladium.primenumbers.in/result/detail/11725102715284504926,Custom Bid for Services- ANNUAL MAINTENANCE CONTRACT AMC FOR REPAIRS AND MAINTENANCE OF RHB DAVIT,indian navy,['GEM/2024/B/4816170'],,kerala,Financial Evaluation,18-04-2024 00:00,TECHNOVISION,,,South,26061000
https://app.palladium.primenumbers.in/result/detail/5613792809069230643,Custom Bid for Services- CC017822 Annual Maintenance Contract AMC for online maintenance servicin,chennai petroleum corporation limited,['GEM/2022/B/2441505'],,tamil nadu,Financial Evaluation,19-09-2022 00:00,YUVAL ENTERPRISES,,,South,8115577
https://app.palladium.primenumbers.in/result/detail/9032012576423389419,Result For Customized AMC/ CMC for Pre- owned Products- AMC for Arc Validator; KEMPPI; Annual Maintenance Contract ( AMC ); Monthly; No,integral coach factory indian railways,['GEM/2025/B/5953124'],,tamil nadu,Financial Evaluation,23-05-2025 00:00,,,,South,
https://app.palladium.primenumbers.in/result/detail/13504980232469802473,"STS AMC of MDPL Mundra, STS AMC of MDPL Santalpur, STS AMC of MDPL Palanpur, STS AMC of MDPL Pindwara,",hindustan petroleum corporation limited,"['GEM/2024/B/5751242', 'GEM/2025/R/444538']",,rajasthan,Financial Evaluation,05-02-2025 00:00,SHREE MARIKAMBA SOLUTIONS PRIVATE LIMITED,361800,L2,West,331392
https://app.palladium.primenumbers.in/result/detail/12779971784819584716,"AMC rate for 1st quarter, AMC rate for 2nd quarter, AMC rate for 3rd quarter, AMC rate for 4th quarter",department of commerce,['GEM/2023/B/3301132'],,kerala,Financial Evaluation,04-04-2023 00:00,PUTHUR INFOTECH PRIVATE LIMITED,,,South,185000
https://app.palladium.primenumbers.in/result/detail/16313643802672825182,Result For Customized AMC/ CMC for Pre- owned Products- ANNUAL MAINTENANCE OF TEST FACILITY; ANNUAL MAINTENANCE OF TEST FACILITY; Annual Maintenance Contract ( AMC ); AS PER SCOPE OF WORK; No,department of defence research and development,"['GEM/2025/B/6183270', 'GEM/2025/R/498330']",,telangana,Financial Evaluation,11-06-2025 00:00,SANKEY CONTROLS PRIVATE LIMITED,2430000,L1,South,2430000
https://app.palladium.primenumbers.in/result/detail/6933535838412654307,Result For Customized AMC/ CMC for Pre- owned Products- AMC for lablink equipment; LabLink; Annual Maintenance Contract ( AMC ); Six- Monthly; No,council of scientific and industrial research,['GEM/2025/B/6253533'],,tamil nadu,Financial Evaluation,05-06-2025 00:00,,,,South,
https://app.palladium.primenumbers.in/result/detail/7737692260331368163,Result For Customized AMC/ CMC for Pre- owned Products- AMC for Metrohm equipment; Metrohm; Annual Maintenance Contract ( AMC ); Six- Monthly; No,council of scientific and industrial research,['GEM/2025/B/6241449'],,tamil nadu,Financial Evaluation,30-05-2025 00:00,,,,South,
https://app.palladium.primenumbers.in/result/detail/11721489435495701019,"AMC rate of 1st quarter, AMC rate of 2nd quarter, AMC rate of 3rd quarter, AMC rate of 4th quarter, Ser",department of commerce,['GEM/2024/B/5262105'],,kerala,Financial Evaluation,28-08-2024 00:00,DBRAINS INFO SYSTEMS & CONTROLS PRIVATE LIMITED,,,South,223680
https://app.palladium.primenumbers.in/result/detail/7728197524947241338,"AMC for HCL INFINITI- PRO, AMC for HCL INFINITI TRU BL 1280, AMC for WIPRO PC, AMC forHCL INFINITI- M",hindustan organic chemicals limited,['GEM/2023/B/4011506'],,kerala,Financial Evaluation,06-10-2023 00:00,,,,South,
https://app.palladium.primenumbers.in/result/detail/3074333410873989527,Customized AMC/ CMC for Pre- owned Products- AMC of Pneumatic ROSOV;--; Annual Maintenance Contract,bharat petroleum corporation limited,['GEM/2025/B/6293534'],,madhya pradesh,Financial Evaluation,13-06-2025 00:00,,,,West,
https://app.palladium.primenumbers.in/result/detail/9164546915715344138,Customized AMC/ CMC for Pre- owned Products- GOLF SIMULATOR;--; Annual Maintenance Contract ( AMC );,ministry of defence,['GEM/2025/B/6033193'],,kerala,Financial Evaluation,06-05-2025 00:00,JACKSON OVERSEAS TECHNICAL CONSULTANTS PRIVATE LIMITED,,,South,
https://app.palladium.primenumbers.in/result/detail/5191907481659286828,Result For AMC for Hydraulic System maintenance at Mining plantsAMC for Hydraulic System maintenance at Mining plants,department of atomic energy,['GEM/2025/B/5804859'],,odisha,Financial Evaluation,20-02-2025 00:00,MAHA HYDRAULICS PRIVATE LIMITED,5522400,L1,East,5522400
https://app.palladium.primenumbers.in/result/detail/9587393568403595670,Customized AMC/ CMC for Pre- owned Products- Maintenance of Work Shop Machines; Maintenance of Work,department of defence research and development,"['GEM/2024/B/5219038', 'GEM/2024/R/427988']",,telangana,Financial Evaluation,06-01-2025 00:00,TWIN CITIES MAN POWER SERVICES,6099287,L4,South,5809285
https://app.palladium.primenumbers.in/result/detail/17381205598938032539,Customized AMC/ CMC for Pre- owned Products---;--; Annual Maintenance Contract ( AMC ); Quarterly; Y,indian air force,['GEM/2024/B/5040555'],,rajasthan,Financial Evaluation,03-07-2024 00:00,PAI SECURITY SOLUTIONS,,,West,
https://app.palladium.primenumbers.in/result/detail/4169254307487937159,Customized AMC/ CMC for Pre- owned Products- Plant maintenance; unbranded; Annual Maintenance Contra,department of atomic energy,"['GEM/2024/B/4868136', 'GEM/2024/R/337378']",,madhya pradesh,Financial Evaluation,17-05-2024 00:00,YASH TRADELINKS,2876000,L1,West,2876000
https://app.palladium.primenumbers.in/result/detail/8832641749798766058,Customized AMC/ CMC for Pre- owned Products- Plant maintenance; unbranded; Annual Maintenance Contra,department of atomic energy,['GEM/2024/B/4868136'],,madhya pradesh,Financial Evaluation,02-05-2024 00:00,YASH TRADELINKS,,,West,
https://app.palladium.primenumbers.in/result/detail/241510991471088925,Custom Bid for Services- ANNUAL MAINTENANCE CONTRACT AMC FOR REPAIR AND MAINTENANCE OF RHB DAVIT O,indian navy,['GEM/2023/B/4326617'],,kerala,Financial Evaluation,04-01-2024 00:00,TECHNOVISION,,,South,
https://app.palladium.primenumbers.in/result/detail/6559440330254396868,Customized AMC/ CMC for Pre- owned Products---;--; Annual Maintenance Contract ( AMC ); Quarterly; Y,ministry of defence,['GEM/2023/B/3296063'],,punjab,Financial Evaluation,29-03-2023 00:00,,,,North,
https://app.palladium.primenumbers.in/result/detail/15702833707494944615,Customized AMC/ CMC for Pre- owned Products---;--; Annual Maintenance Contract ( AMC ); Quarterly; Y,ministry of defence,['GEM/2023/B/3286471'],,punjab,Financial Evaluation,29-03-2023 00:00,,,,North,
https://app.palladium.primenumbers.in/result/detail/10876780016457924977,Customized AMC/ CMC for Pre- owned Products---;--; Annual Maintenance Contract ( AMC ); Quarterly; Y,ministry of defence,['GEM/2023/B/3189050'],,punjab,Financial Evaluation,16-03-2023 00:00,SURINDER KUMAR JINDAL & BROS,7999792,L3,North,795600
https://app.palladium.primenumbers.in/result/detail/6007575658090032694,Customized AMC/ CMC for Pre- owned Products---;--; Annual Maintenance Contract ( AMC ); Quarterly; Y,dedicated freight corridor corporation of india limited,['GEM/2023/B/3045703'],,haryana,Financial Evaluation,13-02-2023 00:00,MEGAMAX SERVICES PRIVATE LIMITED,,,North,
https://app.palladium.primenumbers.in/result/detail/1471978050515752759,Customized AMC/ CMC for Pre- owned Products- ANNUAL MAINTENANCE CONTRACT FOR AMC FOR CENTRALISED COM,department of defence research and development,['GEM/2022/B/2647685'],,telangana,Financial Evaluation,28-10-2022 00:00,SAI PNEUMATIC SALES CORPORATION,,,South,
https://app.palladium.primenumbers.in/result/detail/9643123432958681981,Customized AMC/ CMC for Pre- owned Products- Comprehensive AMC for LPVMS; PELCO; Comprehensive Maint,ministry of defence,['GEM/2022/B/2485902'],,odisha,Financial Evaluation,29-09-2022 00:00,M/S SG.SYNDICATES,,,East,
https://app.palladium.primenumbers.in/result/detail/13844192738281035756,"Annual Maintenance service- AIR CONDITIONER, Annual Maintenance service- AIR CONDITIONER, Annual Mainte",power grid corporation of india limited,['GEM/2022/B/2074493'],,madhya pradesh,Financial Evaluation,13-05-2022 00:00,Key enterprise,654000,L1,West,654000
https://app.palladium.primenumbers.in/result/detail/18249460887467307284,"Annual Maintenance service- AIR CONDITIONER, Annual Maintenance service- AIR CONDITIONER, Annual Mainte",indian ordnance factory,['GEM/2022/B/2023125'],,tamil nadu,Financial Evaluation,18-04-2022 00:00,LOTUS AIR TECH ENGINEERING PRIVATE LIMITED,,,South,
https://app.palladium.primenumbers.in/result/detail/14729289716501203095,"Annual Maintenance service- AIR CONDITIONER, Annual Maintenance service- AIR CONDITIONER, Annual Mainte",ministry of labour and employment,['GEM/2022/B/2021709'],,madhya pradesh,Financial Evaluation,21-03-2022 00:00,MALVIYA ELECTRONICS & REFRIGERATION,,,West,
https://app.palladium.primenumbers.in/result/detail/10637628548656720752,"Annual Maintenance service- AIR CONDITIONER, Annual Maintenance service- AIR CONDITIONER, Annual Mainten",central armed police forces,['GEM/2021/B/1203125'],,tamil nadu,Financial Evaluation,14-05-2021 00:00,Krishna Aircool,,,South,
https://app.palladium.primenumbers.in/result/detail/10963501759848294999,Result For Customized AMC/ CMC for Pre- owned Products- AMC OF COLPRO 222DX SEAL PLUS; AMC OF COLPRO 222DX SEAL PLUS; Annual Maintenance Contract ( AMC ); Six- Monthly; No,nuclear power corporation of india limited,['GEM/2024/B/5553440'],,rajasthan,Financial Evaluation,18-02-2025 00:00,,,,West,
https://app.palladium.primenumbers.in/result/detail/551962599451463622,"Annual Maintenance service- AIR CONDITIONER, Annual Mainte",dedicated freight corridor corporation of india limited,['GEM/2025/B/6273082'],,rajasthan,Financial Evaluation,18-06-2025 00:00,,,,West,
https://app.palladium.primenumbers.in/result/detail/662878285657478500,"Annual Maintenance service- AIR CONDITIONER, Annual Mainte",power grid corporation of india limited,['GEM/2025/B/6230796'],,haryana,Financial Evaluation,24-05-2025 00:00,SAWAN ENGINEERS,403220,L1,North,403220
https://app.palladium.primenumbers.in/result/detail/14250784223788591637,"Annual Maintenance service- AIR CONDITIONER, Annual Mainte",department of fertilisers,['GEM/2025/B/6054836'],,odisha,Financial Evaluation,10-04-2025 00:00,HAREKRISHNA ENGINEERING AND ELECTRICALS,,,East,2476000
https://app.palladium.primenumbers.in/result/detail/5342511302915345917,"Annual Maintenance service- AIR CONDITIONER, Annual Mainte",indo tibetan border police,['GEM/2024/B/5725124'],,andhra pradesh,Financial Evaluation,08-01-2025 00:00,MEGHANA ENTERPRISES,224200,L1,South,224200
