url,title,organisation,ref_no,tender_id,state,stage,status_update_date,company_name,bid_amount,bid_rank,region,result_bid_value
https://app.palladium.primenumbers.in/result/detail/10437148148298140366,"AMC for Desktop Computers, AMC of Laptops, AMC of Computer Printers, AMC of Scanners, AMC of IT Equipme",central bureau of investigation,['GEM/2023/B/4193703'],,maharashtra,Financial Evaluation,30-11-2023 00:00,M/s Pinnacle India INC,299750,L1,West,299750
https://app.palladium.primenumbers.in/result/detail/18180186673271164850,"AMC of Desktop Apple Mac, AMC of Desktop hp, AMC of Desktop acer, AMC of Desktop Lenovo, AMC of Desktop",transport department,['GEM/2023/B/3105706'],,new delhi,Financial Evaluation,20-02-2023 00:00,Adax Trade Ventures,,,North,1599340
https://app.palladium.primenumbers.in/result/detail/7219795361710494976,"AMC of Desktop Apple Mac, AMC of Desktop hp, AMC of Desktop acer, AMC of Desktop Lenovo, AMC of Desktop",transport department,['GEM/2022/B/2621296'],,new delhi,Financial Evaluation,20-10-2022 00:00,Adax Trade Ventures,,,North,1824820
https://app.palladium.primenumbers.in/result/detail/5215428169553680100,"COMPUTER AMC, PRINTER AMC, UPS AMC, SCANNER AMC, LAPTOP AMC, Network, Toner Riffling, Toner Riffling Large",home department maharashtra http solapurpolice gov in sp office solapur,"['GEM/2022/B/2520316', 'GEM/2022/R/135402']",,maharashtra,Financial Evaluation,19-09-2022 00:00,S.A.S. Enterprise,380,L1,West,118075
https://app.palladium.primenumbers.in/result/detail/13086287149777094028,"November 2022 AMC, December 2022 AMC, Januvary 2023 AMC, Februvary 2023 AMC, March 2023 AMC, April 2023",kendriya vidyalaya sangathan,['GEM/2022/B/2691299'],,maharashtra,Financial Evaluation,11-11-2022 00:00,OJAS AYURVEDA,,,West,22932
https://app.palladium.primenumbers.in/result/detail/6208268337455692671,"Jigger Machine, AMC 1st year, AMC 2nd year, AMC 3rd year, AMC 4th year, AMC 5th year",ministry of agriculture and farmers welfare,['GEM/2022/B/2312514'],,maharashtra,Financial Evaluation,18-08-2022 00:00,indian trading corporation,,,West,952623
https://app.palladium.primenumbers.in/result/detail/16438132760703891256,Customized AMC/ CMC for Pre- owned Products- AMC for FTIR; BRUKER; Annual Maintenance Contract ( AMC ),department of atomic energy,['GEM/2024/B/5221288'],,maharashtra,Financial Evaluation,19-08-2024 00:00,,,,West,
https://app.palladium.primenumbers.in/result/detail/16539366942253422568,Result For Customized AMC/ CMC for Pre- owned Products- AMC; Bluestar; Annual Maintenance Contract ( AMC ); Quarterly; No,department of atomic energy,['GEM/2025/B/5972576'],,maharashtra,Financial Evaluation,07-03-2025 00:00,FREEZ ENGINEERING,,,West,
https://app.palladium.primenumbers.in/result/detail/18166758439265819854,"SCADA workstation, AMC for 2nd year, AMC for 3rd year, AMC for 4th year, AMC for 5th year",bharat petroleum corporation limited,['GEM/2024/B/5568314'],,maharashtra,Financial Evaluation,17-12-2024 00:00,CHOKSHI ELECTRIC CO,1020000,L1,West,1020000
https://app.palladium.primenumbers.in/result/detail/2116092804621489039,Operation And Maintenance Of Fire Alarm System- Maintenance Contract for Maintenance of Fire Fight,delhi transco limited,['GEM/2025/B/6122605'],,new delhi,Financial Evaluation,14-05-2025 00:00,A-ONE FIRE SERVICE (INDIA,2521442.88,L1,North,2521443
https://app.palladium.primenumbers.in/result/detail/1779076430570665839,"maintenance of electrical substation, providing of material, maintenance of A block at sbi lho, maintenance of",state bank of india,['GEM/2025/B/6011824'],,new delhi,Financial Evaluation,13-03-2025 00:00,H N TRADERS & ENGINEERS,7158017,L4,North,6127386
https://app.palladium.primenumbers.in/result/detail/15819806250617473911,Annual Maintenance service- AIR CONDITIONERAnnual Maintenance service- AIR CONDITIONERAnnual Mainte,national security guard,['GEM/2023/B/3510416'],,maharashtra,Financial Evaluation,10-06-2023 00:00,N B Electricals & Contrator,487998,L2,West,10500
https://app.palladium.primenumbers.in/result/detail/13751041701264635756,Annual Maintenance service- AIR CONDITIONERAnnual Maintenance service- AIR CONDITIONERAnnual Mainte,higher education department,['GEM/2023/B/3352781'],,new delhi,Financial Evaluation,08-05-2023 00:00,GLOBAL AIRCON SERVICES,,,North,553392
https://app.palladium.primenumbers.in/result/detail/7316332230837784382,AMC,ministry of defence,['GEM/2023/B/3616976'],,maharashtra,Financial Evaluation,16-08-2023 00:00,DEOKALI ENGINEERING WORKS,,,West,
https://app.palladium.primenumbers.in/result/detail/3461611474977220187,"Windows AC AMC, Split AC AMC",law and judiciary department maharashtra charity commissioner office mumbai greater mumbai region mumbai,['GEM/2023/B/3269744'],,maharashtra,Financial Evaluation,25-03-2023 00:00,AIRNIC INFRA PRIVATE LIMITED,,,West,297777
https://app.palladium.primenumbers.in/result/detail/13196705878088496354,Annual Maintenance Service ( Hardware Security Module )- Annual Maintenance Contract AMC for Hardwar,ministry of skill development and entrepreneurship na national skill development corporation delhi,['GEM/2025/B/5793077'],,new delhi,Financial Evaluation,20-01-2025 00:00,,,,North,
https://app.palladium.primenumbers.in/result/detail/7950812937247618705,Custom Bid for Services- Annual Maintenance Contract AMC for Mechanical maintenance works at Loni,indian oil corporation limited,"['GEM/2024/B/4891667', 'GEM/2024/R/373551']",,new delhi,Financial Evaluation,23-08-2024 00:00,VERMA ENTERPRISES,,,North,12430000
https://app.palladium.primenumbers.in/result/detail/15667193664941600868,Custom Bid for Services- ANNUAL MAINTENANCE CONTRACT AMC FOR ROUTINE MAINTENANCE OF PLANT EQUIPMEN,indian oil corporation limited,['GEM/2024/B/5026139'],,new delhi,Financial Evaluation,28-06-2024 00:00,KUSHWAHA ENTERPRISES,7627709,L4,North,5655956
https://app.palladium.primenumbers.in/result/detail/268426624782733177,Custom Bid for Services- Annual Maintenance Contract AMC for Mechanical maintenance works at Loni,indian oil corporation limited,['GEM/2024/B/4891667'],,new delhi,Financial Evaluation,15-06-2024 00:00,VERMA ENTERPRISES,,,North,
https://app.palladium.primenumbers.in/result/detail/9756806226352426125,Custom Bid for Services- Annual Maintenance Contract AMC for Maintenance of Internal Telephone Cab,airports authority of india,['GEM/2023/B/3967835'],,new delhi,Financial Evaluation,06-10-2023 00:00,PRONTO TEL PRIVATE LIMITED,10817861,L4,North,8182398
https://app.palladium.primenumbers.in/result/detail/12697618763147988477,Customized AMC/ CMC for Pre- owned Products---;--; Annual Maintenance Contract ( AMC ); Annually; No,ministry of micro small and medium enterprises,['GEM/2022/B/2554242'],,maharashtra,Financial Evaluation,22-10-2022 00:00,PHILLIPS MACHINE TOOLS INDIA PRIVATE LIMITED,1084184,L1,West,1084184
https://app.palladium.primenumbers.in/result/detail/7324789012391069334,Customized AMC/ CMC for Pre- owned Products---;--; Annual Maintenance Contract ( AMC ); Monthly; No;,indian coast guard,['GEM/2022/B/2320316'],,new delhi,Financial Evaluation,26-07-2022 00:00,VG TECHNOLOGIES PRIVATE LIMITED,,,North,
https://app.palladium.primenumbers.in/result/detail/2656828967237610835,"Mumbai AMC, SV09 AMC, SV09 Transportation, SV20A AMC, SV20A Transportation, BKPL HOV01 AMC, BKPL HV01 Tra",bharat petroleum corporation limited,['GEM/2025/B/6090637'],,maharashtra,Financial Evaluation,16-04-2025 00:00,DYNALOG INDIA LIMITED,3862966,L1,West,3862966
https://app.palladium.primenumbers.in/result/detail/4703942724642409800,Result For Customized AMC/ CMC for Pre- owned Products- AMC OF INAMS NETWORK; AMC OF INAMS NETWORK; Annual Maintenance Contract ( AMC ); AS PER SCOPE OF WORK; Yes,indian navy,['GEM/2025/B/6005783'],,maharashtra,Financial Evaluation,24-03-2025 00:00,SIMANDHAR COMPUTERS,,,West,
https://app.palladium.primenumbers.in/result/detail/2151935303445310943,"AMC RO 1000LPH ONE YEAR, AMC RO 500LPH ONE YEAR, AMC RO 100LPH ONE YEAR, AMC RO 50LPH ONE YEAR, AMC RO",ministry of defence,['GEM/2022/B/2274445'],,maharashtra,Financial Evaluation,20-06-2022 00:00,SAMARTH SUPPLIERS,,,West,1544630
https://app.palladium.primenumbers.in/result/detail/9154237855938393079,Customized AMC/ CMC for Pre- owned Products- projector; christie; Annual Maintenance Contract ( AMC );,film and television institute of india,['GEM/2025/B/5942515'],,maharashtra,Financial Evaluation,16-05-2025 00:00,OPERA27 ENTERPRISES,72000,L1,West,72000
https://app.palladium.primenumbers.in/result/detail/14736558637960188633,Custom Bid for Services- ANNUAL MAINTENANCE CONTRACT AMC FOR REPAIR MAINTENANCE OF IBS FITTED ONBO,indian navy,['GEM/2024/B/5713349'],,maharashtra,Financial Evaluation,18-02-2025 00:00,NAVICOM TECHNOLOGY INTERNATIONAL PRIVATE LIMITED,64687896,L1,West,64687896
https://app.palladium.primenumbers.in/result/detail/15540360787346526712,Customized AMC/ CMC for Pre- owned Products---;--; Annual Maintenance Contract ( AMC ); Monthly; Yes,ministry of environment forest and climate change,['GEM/2025/B/5792037'],,new delhi,Financial Evaluation,17-01-2025 00:00,New Delhi Car Clinic,,,North,19870728
https://app.palladium.primenumbers.in/result/detail/2241633549938719312,Customized AMC/ CMC for Pre- owned Products---;--; Annual Maintenance Contract ( AMC ); Monthly; Yes,directorate of advertising and visual publicity,['GEM/2024/B/5638082'],,new delhi,Financial Evaluation,13-12-2024 00:00,NARINDER KUMAR AND SONS,54940,L1,North,54940
https://app.palladium.primenumbers.in/result/detail/4816249231253404048,Customized AMC/ CMC for Pre- owned Products- AMC for SPFO Website and Application;--; Annual Mainte,ministry of ports shipping and waterways na seamens provident fund organisation mumbai,['GEM/2024/B/5210441'],,maharashtra,Financial Evaluation,23-08-2024 00:00,TECHB SOFTWARES LLP,,,West,1900000
