url,title,organisation,ref_no,tender_id,state,stage,status_update_date,company_name,bid_amount,bid_rank,region,result_bid_value
https://app.palladium.primenumbers.in/result/detail/10194457322664324293,"INJ NEUROBION, INJ M V I, INJ AVIL, INJ LASIX, INJ HAEMACCEL, TAB AZITHRAL 500, TAB ATORVA 20 MG, TAB ATOR",border security force,"['GEM/2025/B/6221407', 'GEM/2025/R/502238']",,manipur,Financial Evaluation,2025-06-20 00:00:00,JOY DURGA DISTRIBUTORS,56486.6,L2, ,56000.0
https://app.palladium.primenumbers.in/result/detail/10194457322664324293,"INJ NEUROBION, INJ M V I, INJ AVIL, INJ LASIX, INJ HAEMACCEL, TAB AZITHRAL 500, TAB ATORVA 20 MG, TAB ATOR",border security force,"['GEM/2025/B/6221407', 'GEM/2025/R/502238']",,manipur,Financial Evaluation,2025-06-20 00:00:00,r.g formulation,56000.0,L1, ,56000.0
https://app.palladium.primenumbers.in/result/detail/10194457322664324293,"INJ NEUROBION, INJ M V I, INJ AVIL, INJ LASIX, INJ HAEMACCEL, TAB AZITHRAL 500, TAB ATORVA 20 MG, TAB ATOR",border security force,"['GEM/2025/B/6221407', 'GEM/2025/R/502238']",,manipur,Financial Evaluation,2025-06-20 00:00:00,N DPHARMACEUTICALS,62702.4,L3, ,56000.0
https://app.palladium.primenumbers.in/result/detail/10194457322664324293,"INJ NEUROBION, INJ M V I, INJ AVIL, INJ LASIX, INJ HAEMACCEL, TAB AZITHRAL 500, TAB ATORVA 20 MG, TAB ATOR",border security force,"['GEM/2025/B/6221407', 'GEM/2025/R/502238']",,manipur,Financial Evaluation,2025-06-20 00:00:00,SHIVAM ENTERPRISE,72300.0,L4, ,56000.0
https://app.palladium.primenumbers.in/result/detail/3846297022721689062,"6 Amp Switch 1 way switch, 20 Amp, P type 1 way switch, 6 A One Way Bell Push Switch, 3 pin 6 Amp Sock",border security force,"['GEM/2025/B/6243508', 'GEM/2025/R/501545']",,manipur,AOC,2025-06-19 00:00:00,M/S GALAXY ENTERPRISES,740396.0,L3, ,323525.0
https://app.palladium.primenumbers.in/result/detail/3846297022721689062,"6 Amp Switch 1 way switch, 20 Amp, P type 1 way switch, 6 A One Way Bell Push Switch, 3 pin 6 Amp Sock",border security force,"['GEM/2025/B/6243508', 'GEM/2025/R/501545']",,manipur,AOC,2025-06-19 00:00:00,CERVO ELECTRICALS & LIGHTINGS,323525.0,L1, ,323525.0
https://app.palladium.primenumbers.in/result/detail/3846297022721689062,"6 Amp Switch 1 way switch, 20 Amp, P type 1 way switch, 6 A One Way Bell Push Switch, 3 pin 6 Amp Sock",border security force,"['GEM/2025/B/6243508', 'GEM/2025/R/501545']",,manipur,AOC,2025-06-19 00:00:00,RAGHAV ELECTRICALS AND ELECTRONICS INDUSTRIAL COMPONENTS,324229.0,L2, ,323525.0
https://app.palladium.primenumbers.in/result/detail/7244998401494218973,"INJ DEXONA, INJ CYCLOPAM, CAP OCID 20 MG, CAP PAN D, CAP BIFILAC, TAB PAN 40 MG, TAB DULCOLEX, TAB ONDEM, A",border security force,"['GEM/2025/B/6244889', 'GEM/2025/R/501098']",,manipur,Financial Evaluation,2025-06-18 00:00:00,JOY DURGA DISTRIBUTORS,56082.2,L1, ,56082.2
https://app.palladium.primenumbers.in/result/detail/1202207120031712348,"LED STREET LIGHT 1, LED STREET LIGHT 2, LED STREET LIGHT 3, 6A SP MCB HAVELLS LEGRAND 1, 6A SP MCB LEGR",border security force,['GEM/2025/B/6219220'],,tamil nadu,Financial Evaluation,2025-05-31 00:00:00,SUMIT ENTERPRISES,,,South,
https://app.palladium.primenumbers.in/result/detail/1202207120031712348,"LED STREET LIGHT 1, LED STREET LIGHT 2, LED STREET LIGHT 3, 6A SP MCB HAVELLS LEGRAND 1, 6A SP MCB LEGR",border security force,['GEM/2025/B/6219220'],,tamil nadu,Financial Evaluation,2025-05-31 00:00:00,DEEPAK ELECTRICALS,,,South,
