url,title,organisation,ref_no,tender_id,state,stage,status_update_date,company_name,bid_amount,bid_rank,region,result_bid_value
https://app.palladium.primenumbers.in/result/detail/6528077087169589164,"Annual Maintenance Service- Desktops, Laptops and Peripherals- Desktop PC; Dell",central industrial security force,['GEM/2025/B/6367823'],,west bengal,Technical Evaluation,2025-06-23 00:00:00,S & N TECHNOLOGIES,,,East,
https://app.palladium.primenumbers.in/result/detail/6528077087169589164,"Annual Maintenance Service- Desktops, Laptops and Peripherals- Desktop PC; Dell",central industrial security force,['GEM/2025/B/6367823'],,west bengal,Technical Evaluation,2025-06-23 00:00:00,LOOPINTECHIES SERVICES (INDIA) PRIVATE LIMITED,,,East,
https://app.palladium.primenumbers.in/result/detail/6528077087169589164,"Annual Maintenance Service- Desktops, Laptops and Peripherals- Desktop PC; Dell",central industrial security force,['GEM/2025/B/6367823'],,west bengal,Technical Evaluation,2025-06-23 00:00:00,BRAJ INFORMATION TECHNOLOGY PRIVATE LIMITED,,,East,
https://app.palladium.primenumbers.in/result/detail/6528077087169589164,"Annual Maintenance Service- Desktops, Laptops and Peripherals- Desktop PC; Dell",central industrial security force,['GEM/2025/B/6367823'],,west bengal,Technical Evaluation,2025-06-23 00:00:00,unicore technologies,,,East,
https://app.palladium.primenumbers.in/result/detail/11710941163252278527,"X ray baggage inspection system as per MHA QR, V3, V",central industrial security force,['GEM/2025/B/6219590'],,uttar pradesh,Technical Evaluation,2025-06-23 00:00:00,,,,North,
https://app.palladium.primenumbers.in/result/detail/2547562474605030610,Result For Thermal Cutter,central industrial security force,['GEM/2025/B/6228599'],,new delhi,Technical Evaluation,2025-06-20 00:00:00,,,,North,
https://app.palladium.primenumbers.in/result/detail/13520486031033990476,Shoes Leather ( Oxford Pattern ) ( IAF ),central industrial security force,['GEM/2025/B/6288455'],,new delhi,Technical Evaluation,2025-06-20 00:00:00,,,,North,
https://app.palladium.primenumbers.in/result/detail/149266531830432229,Result For Hook and Line Set,central industrial security force,['GEM/2025/B/6225868'],,new delhi,Technical Evaluation,2025-06-20 00:00:00,,,,North,
https://app.palladium.primenumbers.in/result/detail/11893320349585417209,Four Side Artificial Climbing Wall,central industrial security force,['GEM/2025/B/6217098'],,telangana,Technical Evaluation,2025-06-20 00:00:00,,,,South,
https://app.palladium.primenumbers.in/result/detail/15871506213723535495,Result For Bomb Basket,central industrial security force,['GEM/2025/B/6227457'],,new delhi,Technical Evaluation,2025-06-20 00:00:00,,,,North,
https://app.palladium.primenumbers.in/result/detail/5525437759481066137,Remote operated wire cutter,central industrial security force,['GEM/2025/B/6227521'],,new delhi,Technical Evaluation,2025-06-20 00:00:00,,,,North,
https://app.palladium.primenumbers.in/result/detail/14131914393777424146,Fiber Optic Scope,central industrial security force,['GEM/2025/B/6227008'],,new delhi,Technical Evaluation,2025-06-20 00:00:00,,,,North,
https://app.palladium.primenumbers.in/result/detail/15186237079187741943,Car remote opening Toolkit,central industrial security force,['GEM/2025/B/6227575'],,new delhi,Technical Evaluation,2025-06-20 00:00:00,,,,North,
https://app.palladium.primenumbers.in/result/detail/13139770979578743085,Hand Held Search Light,central industrial security force,['GEM/2025/B/6190657'],,new delhi,Technical Evaluation,2025-06-14 00:00:00,,,,North,
