url,title,organisation,ref_no,tender_id,state,stage,status_update_date,company_name,bid_amount,bid_rank,region,result_bid_value
https://app.palladium.primenumbers.in/result/detail/8574522317597274529,"Carbide Chain Saw, Telescopic Pole Pruner",assam rifles,['GEM/2025/B/6266520'],,meghalaya,Technical Evaluation,2025-06-06 00:00:00,,,, ,
https://app.palladium.primenumbers.in/result/detail/18135839924542972612,"Mircha, Dhaniya, Garlic, Jeera, Methi, Badi Elachi, Choti Elachi, Semiya 80gm, Ajwain, Sounf, Long, Kasturi Me",assam rifles,['GEM/2025/B/6218325'],,manipur,Technical Evaluation,2025-06-05 00:00:00,NANDA AGROTECH PRIVATE LIMITED,,, ,
https://app.palladium.primenumbers.in/result/detail/18135839924542972612,"Mircha, Dhaniya, Garlic, Jeera, Methi, Badi Elachi, Choti Elachi, Semiya 80gm, Ajwain, Sounf, Long, Kasturi Me",assam rifles,['GEM/2025/B/6218325'],,manipur,Technical Evaluation,2025-06-05 00:00:00,SHWETA ENTERPRISES,,, ,
https://app.palladium.primenumbers.in/result/detail/18135839924542972612,"Mircha, Dhaniya, Garlic, Jeera, Methi, Badi Elachi, Choti Elachi, Semiya 80gm, Ajwain, Sounf, Long, Kasturi Me",assam rifles,['GEM/2025/B/6218325'],,manipur,Technical Evaluation,2025-06-05 00:00:00,ND SPICES PRIVATE LIMITED,,, ,
https://app.palladium.primenumbers.in/result/detail/18135839924542972612,"Mircha, Dhaniya, Garlic, Jeera, Methi, Badi Elachi, Choti Elachi, Semiya 80gm, Ajwain, Sounf, Long, Kasturi Me",assam rifles,['GEM/2025/B/6218325'],,manipur,Technical Evaluation,2025-06-05 00:00:00,HILTON AGRO FOODS PRIVATE LIMITED,,, ,
https://app.palladium.primenumbers.in/result/detail/18135839924542972612,"Mircha, Dhaniya, Garlic, Jeera, Methi, Badi Elachi, Choti Elachi, Semiya 80gm, Ajwain, Sounf, Long, Kasturi Me",assam rifles,['GEM/2025/B/6218325'],,manipur,Technical Evaluation,2025-06-05 00:00:00,INTRAXIS SPICES PRIVATE LIMITED,,, ,
https://app.palladium.primenumbers.in/result/detail/18135839924542972612,"Mircha, Dhaniya, Garlic, Jeera, Methi, Badi Elachi, Choti Elachi, Semiya 80gm, Ajwain, Sounf, Long, Kasturi Me",assam rifles,['GEM/2025/B/6218325'],,manipur,Technical Evaluation,2025-06-05 00:00:00,M/s Mahesh Kumar Gupta,,, ,
https://app.palladium.primenumbers.in/result/detail/18135839924542972612,"Mircha, Dhaniya, Garlic, Jeera, Methi, Badi Elachi, Choti Elachi, Semiya 80gm, Ajwain, Sounf, Long, Kasturi Me",assam rifles,['GEM/2025/B/6218325'],,manipur,Technical Evaluation,2025-06-05 00:00:00,M/s. Jamuna Enterprises,,, ,
https://app.palladium.primenumbers.in/result/detail/18135839924542972612,"Mircha, Dhaniya, Garlic, Jeera, Methi, Badi Elachi, Choti Elachi, Semiya 80gm, Ajwain, Sounf, Long, Kasturi Me",assam rifles,['GEM/2025/B/6218325'],,manipur,Technical Evaluation,2025-06-05 00:00:00,THAKUR DASS ISHAR DASS,,, ,
https://app.palladium.primenumbers.in/result/detail/18320348333187150611,Hopper Tipper Dumper for Garbage,assam rifles,['GEM/2025/B/6276236'],,meghalaya,Technical Evaluation,2025-06-05 00:00:00,,,, ,
https://app.palladium.primenumbers.in/result/detail/15941176368590990921,"Goods Transport Service – Per MT per KM Based Service- Packed Milk, Food Grains, Food Items, Bag",assam rifles,['GEM/2025/B/6245584'],,meghalaya,Technical Evaluation,2025-06-04 00:00:00,,,, ,
https://app.palladium.primenumbers.in/result/detail/11904102178180826173,"Motorized Treadmill, Elliptical Cross Trainer 3 level Manual Incline Self Generator, Adjustable Bench",assam rifles,['GEM/2025/B/6228127'],,assam,Technical Evaluation,2025-06-04 00:00:00,,,,East,
https://app.palladium.primenumbers.in/result/detail/2179039211460583109,"Goods Transport Service – Per MT per KM Based Service- Packed Milk, Food Grains, Food Items, Bag",assam rifles,['GEM/2025/B/6245573'],,meghalaya,Technical Evaluation,2025-06-04 00:00:00,,,, ,
https://app.palladium.primenumbers.in/result/detail/3248213875186410276,"Goods Transport Service – Per MT per KM Based Service- Packed Milk, Food Grains, Food Items, Bag",assam rifles,['GEM/2025/B/6245570'],,meghalaya,Technical Evaluation,2025-06-04 00:00:00,,,, ,
https://app.palladium.primenumbers.in/result/detail/11016185933238579955,Result For Various Automotive Batteries,assam rifles,['GEM/2025/B/6227153'],,meghalaya,Technical Evaluation,2025-06-04 00:00:00,,,, ,
https://app.palladium.primenumbers.in/result/detail/16674541218087743162,"Goods Transport Service – Per MT per KM Based Service- Packed Milk, Food Grains, Food Items, Bag",assam rifles,['GEM/2025/B/6245600'],,meghalaya,Technical Evaluation,2025-06-04 00:00:00,,,, ,
https://app.palladium.primenumbers.in/result/detail/16562490851416038246,"Goods Transport Service – Per MT per KM Based Service- Packed Milk, Food Grains, Food Items, Bag",assam rifles,['GEM/2025/B/6245619'],,meghalaya,Technical Evaluation,2025-06-04 00:00:00,,,, ,
https://app.palladium.primenumbers.in/result/detail/5333046368698504544,Bullet Resistant Morcha as per IS 17525,assam rifles,['GEM/2025/B/6209877'],,meghalaya,Technical Evaluation,2025-06-03 00:00:00,,,, ,
https://app.palladium.primenumbers.in/result/detail/17177397280409366994,Result For Air Curtain ( Q2 ),assam rifles,['GEM/2025/B/6237740'],,meghalaya,Technical Evaluation,2025-05-31 00:00:00,,,, ,
https://app.palladium.primenumbers.in/result/detail/2391236071763499404,Result For Linoleum Sheet,assam rifles,['GEM/2025/B/6220011'],,meghalaya,Technical Evaluation,2025-05-31 00:00:00,,,, ,
https://app.palladium.primenumbers.in/result/detail/7199257695573572587,SUPPLY AND INSTALLATION OF PUF SHELTER TOILET BLOCK ( SIZE 8. 01 M X 6. 10M X 4. 10M HEIGHT ),assam rifles,['GEM/2025/B/6214292'],,meghalaya,Technical Evaluation,2025-05-30 00:00:00,,,, ,
https://app.palladium.primenumbers.in/result/detail/10671201310749380791,"Revolving Search Light ( MHA ), Hand Held Search Light, Inverted Mirror Trolley Mounted Under Vehicle S",assam rifles,['GEM/2025/B/6231703'],,meghalaya,Technical Evaluation,2025-05-30 00:00:00,,,, ,
https://app.palladium.primenumbers.in/result/detail/815422192236875395,"Shorthand Notebooks, Stapler Pin/ Staples, V2, Staplers, Black Lead Pencils, V2 as per IS 1375",assam rifles,['GEM/2025/B/6272845'],,tripura,AOC,2025-05-30 00:00:00,Sri Amman Enterprises,,, ,39494.0
https://app.palladium.primenumbers.in/result/detail/815422192236875395,"Shorthand Notebooks, Stapler Pin/ Staples, V2, Staplers, Black Lead Pencils, V2 as per IS 1375",assam rifles,['GEM/2025/B/6272845'],,tripura,AOC,2025-05-30 00:00:00,CHANDRA DRUG DISTRIBUTORS,131500.0,L3, ,39494.0
https://app.palladium.primenumbers.in/result/detail/815422192236875395,"Shorthand Notebooks, Stapler Pin/ Staples, V2, Staplers, Black Lead Pencils, V2 as per IS 1375",assam rifles,['GEM/2025/B/6272845'],,tripura,AOC,2025-05-30 00:00:00,YESESWINI AUTOMATION,,, ,39494.0
https://app.palladium.primenumbers.in/result/detail/815422192236875395,"Shorthand Notebooks, Stapler Pin/ Staples, V2, Staplers, Black Lead Pencils, V2 as per IS 1375",assam rifles,['GEM/2025/B/6272845'],,tripura,AOC,2025-05-30 00:00:00,M/S Palash Chandra Saha,,, ,39494.0
https://app.palladium.primenumbers.in/result/detail/815422192236875395,"Shorthand Notebooks, Stapler Pin/ Staples, V2, Staplers, Black Lead Pencils, V2 as per IS 1375",assam rifles,['GEM/2025/B/6272845'],,tripura,AOC,2025-05-30 00:00:00,OMKAR STEEL WORKS,39494.0,L1, ,39494.0
https://app.palladium.primenumbers.in/result/detail/815422192236875395,"Shorthand Notebooks, Stapler Pin/ Staples, V2, Staplers, Black Lead Pencils, V2 as per IS 1375",assam rifles,['GEM/2025/B/6272845'],,tripura,AOC,2025-05-30 00:00:00,SURAJ RATHOR,52360.0,L2, ,39494.0
https://app.palladium.primenumbers.in/result/detail/815422192236875395,"Shorthand Notebooks, Stapler Pin/ Staples, V2, Staplers, Black Lead Pencils, V2 as per IS 1375",assam rifles,['GEM/2025/B/6272845'],,tripura,AOC,2025-05-30 00:00:00,ESS KAY HOME CARE,,, ,39494.0
https://app.palladium.primenumbers.in/result/detail/815422192236875395,"Shorthand Notebooks, Stapler Pin/ Staples, V2, Staplers, Black Lead Pencils, V2 as per IS 1375",assam rifles,['GEM/2025/B/6272845'],,tripura,AOC,2025-05-30 00:00:00,HILLS STATIONERS & PRINTERS,,, ,39494.0
https://app.palladium.primenumbers.in/result/detail/815422192236875395,"Shorthand Notebooks, Stapler Pin/ Staples, V2, Staplers, Black Lead Pencils, V2 as per IS 1375",assam rifles,['GEM/2025/B/6272845'],,tripura,AOC,2025-05-30 00:00:00,KRISHNA ENTERPRISES,,, ,39494.0
https://app.palladium.primenumbers.in/result/detail/8740314672167067386,"Adrenaline Injection, Atropin Injection, Anti- snake venom Injection, Avil Injection, Botropase Injectio",assam rifles,['GEM/2025/B/6200365'],,manipur,Financial Evaluation,2025-05-30 00:00:00,SHAH BROTHERS,,, ,
https://app.palladium.primenumbers.in/result/detail/8740314672167067386,"Adrenaline Injection, Atropin Injection, Anti- snake venom Injection, Avil Injection, Botropase Injectio",assam rifles,['GEM/2025/B/6200365'],,manipur,Financial Evaluation,2025-05-30 00:00:00,DEEKNISC SERVICES & SOLUTIONS PRIVATE LIMITED,,, ,
https://app.palladium.primenumbers.in/result/detail/8740314672167067386,"Adrenaline Injection, Atropin Injection, Anti- snake venom Injection, Avil Injection, Botropase Injectio",assam rifles,['GEM/2025/B/6200365'],,manipur,Financial Evaluation,2025-05-30 00:00:00,FLORENCE INDIA,,, ,
https://app.palladium.primenumbers.in/result/detail/8740314672167067386,"Adrenaline Injection, Atropin Injection, Anti- snake venom Injection, Avil Injection, Botropase Injectio",assam rifles,['GEM/2025/B/6200365'],,manipur,Financial Evaluation,2025-05-30 00:00:00,RA SURGI PHARMA,,, ,
https://app.palladium.primenumbers.in/result/detail/10878402369830610280,SUPPLY AND INSTALLATION OF PUF SHELTER OF SIZE ( 13. 05 M X 7. 620M WITH 3. 9M HEIGHT,assam rifles,['GEM/2025/B/6213364'],,meghalaya,Technical Evaluation,2025-05-29 00:00:00,,,, ,
https://app.palladium.primenumbers.in/result/detail/9048895210173775595,SUPPLY AND INSTALLATION OF METAL CRASH BARRIER,assam rifles,['GEM/2025/B/6212886'],,meghalaya,Technical Evaluation,2025-05-29 00:00:00,,,, ,
https://app.palladium.primenumbers.in/result/detail/18079467960163491839,SUPPLY AND INSTALLATION OF CH/ DH PUF SHELTER OF SIZE ( 15. 66 M X 7. 620M WITH 3. 9M HEIGHT,assam rifles,['GEM/2025/B/6213432'],,meghalaya,Technical Evaluation,2025-05-29 00:00:00,,,, ,
https://app.palladium.primenumbers.in/result/detail/10470025195736119292,"Pressure Sensitive Adhesive Tapes with Plastic Base ( V3 ) Conforming to IS 13262, Sketch Pen ( V2 ), Car",assam rifles,['GEM/2025/B/6272071'],,tripura,AOC,2025-05-29 00:00:00,Sri Amman Enterprises,,, ,6136.0
https://app.palladium.primenumbers.in/result/detail/10470025195736119292,"Pressure Sensitive Adhesive Tapes with Plastic Base ( V3 ) Conforming to IS 13262, Sketch Pen ( V2 ), Car",assam rifles,['GEM/2025/B/6272071'],,tripura,AOC,2025-05-29 00:00:00,CHANDRA DRUG DISTRIBUTORS,10100.0,L3, ,6136.0
https://app.palladium.primenumbers.in/result/detail/10470025195736119292,"Pressure Sensitive Adhesive Tapes with Plastic Base ( V3 ) Conforming to IS 13262, Sketch Pen ( V2 ), Car",assam rifles,['GEM/2025/B/6272071'],,tripura,AOC,2025-05-29 00:00:00,M/S Palash Chandra Saha,,, ,6136.0
https://app.palladium.primenumbers.in/result/detail/10470025195736119292,"Pressure Sensitive Adhesive Tapes with Plastic Base ( V3 ) Conforming to IS 13262, Sketch Pen ( V2 ), Car",assam rifles,['GEM/2025/B/6272071'],,tripura,AOC,2025-05-29 00:00:00,OMKAR STEEL WORKS,6136.0,L1, ,6136.0
https://app.palladium.primenumbers.in/result/detail/10470025195736119292,"Pressure Sensitive Adhesive Tapes with Plastic Base ( V3 ) Conforming to IS 13262, Sketch Pen ( V2 ), Car",assam rifles,['GEM/2025/B/6272071'],,tripura,AOC,2025-05-29 00:00:00,SURAJ RATHOR,9000.0,L2, ,6136.0
https://app.palladium.primenumbers.in/result/detail/10470025195736119292,"Pressure Sensitive Adhesive Tapes with Plastic Base ( V3 ) Conforming to IS 13262, Sketch Pen ( V2 ), Car",assam rifles,['GEM/2025/B/6272071'],,tripura,AOC,2025-05-29 00:00:00,SNRSUPPLYHUB.CO.IN,,, ,6136.0
https://app.palladium.primenumbers.in/result/detail/10470025195736119292,"Pressure Sensitive Adhesive Tapes with Plastic Base ( V3 ) Conforming to IS 13262, Sketch Pen ( V2 ), Car",assam rifles,['GEM/2025/B/6272071'],,tripura,AOC,2025-05-29 00:00:00,KRISHNA ENTERPRISES,,, ,6136.0
https://app.palladium.primenumbers.in/result/detail/756311359304996979,20MEN LIVING PUF SHELTER WITH TOILET ( SIZE 44FT x 25FT x 14. 40FT HEIGHT WITH 5FT VERANDAH IN FRONT ),assam rifles,['GEM/2025/B/6211349'],,meghalaya,Technical Evaluation,2025-05-29 00:00:00,,,, ,
https://app.palladium.primenumbers.in/result/detail/17836578774274113977,Result For SUPPLY AND INSTALLATION OF OFFICE SHELTER ( SIZE 6 MTR x 7. 60 MTR x 4. 40 MTR INCLUDING 1. 5 MTR VERAND,assam rifles,['GEM/2025/B/6211135'],,meghalaya,Technical Evaluation,2025-05-29 00:00:00,,,, ,
https://app.palladium.primenumbers.in/result/detail/5576609485556350062,SUPPLY AND INSTALLATION OF TOILET BLOCK PUF SHELTER ( SIZE 5. 0 MTR x 5. 20 MTR x 4. 0 MTR HEIGHT INCLU,assam rifles,['GEM/2025/B/6210845'],,meghalaya,Technical Evaluation,2025-05-29 00:00:00,,,, ,
