url,title,organisation,ref_no,tender_id,state,stage,status_update_date,company_name,bid_amount,bid_rank,region,result_bid_value
https://app.palladium.primenumbers.in/result/detail/8466853232678349202,Computer Printer ( V2 ),central armed police forces,"['GEM/2025/B/6072854', 'GEM/2025/R/496003']",,rajasthan,Financial Evaluation,2025-06-05 00:00:00,MAYUR ENTERPRISES,5149779.0,L1,West,5149779.0
https://app.palladium.primenumbers.in/result/detail/8466853232678349202,Computer Printer ( V2 ),central armed police forces,"['GEM/2025/B/6072854', 'GEM/2025/R/496003']",,rajasthan,Financial Evaluation,2025-06-05 00:00:00,VIBRANT INFOTECH,5154956.0,L2,West,5149779.0
https://app.palladium.primenumbers.in/result/detail/11674338636497854973,Multifunction Machine MFM ( V2 ),central armed police forces,"['GEM/2025/B/6082342', 'GEM/2025/R/495261']",,jammu and kashmir,Financial Evaluation,2025-06-04 00:00:00,MULTI PLUS,2507000.0,L2,North,2492993.0
https://app.palladium.primenumbers.in/result/detail/11674338636497854973,Multifunction Machine MFM ( V2 ),central armed police forces,"['GEM/2025/B/6082342', 'GEM/2025/R/495261']",,jammu and kashmir,Financial Evaluation,2025-06-04 00:00:00,OFFCOM PLUS,2492993.0,L1,North,2492993.0
https://app.palladium.primenumbers.in/result/detail/14301395471115215912,Computer Printer ( V2 ),central armed police forces,"['GEM/2025/B/5943343', 'GEM/2025/R/494262']",,jammu and kashmir,Financial Evaluation,2025-06-02 00:00:00,LANDMARK INFONET PRIVATE LIMITED,907005.0,L1,North,907005.0
https://app.palladium.primenumbers.in/result/detail/14301395471115215912,Computer Printer ( V2 ),central armed police forces,"['GEM/2025/B/5943343', 'GEM/2025/R/494262']",,jammu and kashmir,Financial Evaluation,2025-06-02 00:00:00,E-COMPUSELL LIMITED,907925.0,L2,North,907005.0
https://app.palladium.primenumbers.in/result/detail/10771979475937685937,HYDRAULIC JACK 20 TON,central armed police forces,"['GEM/2025/B/6007629', 'GEM/2025/R/493718']",,new delhi,Financial Evaluation,2025-05-31 00:00:00,GRIPHOLD ENGINEERING PRIVATE LIMITED,68636700.0,L1,North,68636704.0
https://app.palladium.primenumbers.in/result/detail/7053622992280726922,Trichloroisocyanuric Acid ( Defence ),central armed police forces,['GEM/2025/B/6214783'],,haryana,Technical Evaluation,2025-05-31 00:00:00,,,,North,
https://app.palladium.primenumbers.in/result/detail/16646506245625046331,5. 1 Dolby Surround Sound system,central armed police forces,"['GEM/2025/B/6023342', 'GEM/2025/R/494126']",,jammu and kashmir,Financial Evaluation,2025-05-31 00:00:00,TAHOOR ENTERPRISES,1993900.0,L1,North,1993900.0
https://app.palladium.primenumbers.in/result/detail/5044747490246511405,Victim Location Equipment and Breaching System ( Mobile Medical Services Search and Rescue Kits ),central armed police forces,"['GEM/2025/B/6007827', 'GEM/2025/R/493995']",,new delhi,Financial Evaluation,2025-05-31 00:00:00,INTEGRAL SAFETY ENGINEERS,18736000.0,L1,North,18736000.0
https://app.palladium.primenumbers.in/result/detail/7250758071387179644,Result For Chicken Eggs ( Q3 ),central armed police forces,"['GEM/2025/B/6212993', 'GEM/2025/R/492898']",,uttarakhand,AOC,2025-05-29 00:00:00,M/S SHIVALIK TRADERS,584509.32,L1,North,584509.3
https://app.palladium.primenumbers.in/result/detail/7250758071387179644,Result For Chicken Eggs ( Q3 ),central armed police forces,"['GEM/2025/B/6212993', 'GEM/2025/R/492898']",,uttarakhand,AOC,2025-05-29 00:00:00,NIKAET AHUJA,585574.0,L2,North,584509.3
https://app.palladium.primenumbers.in/result/detail/12730668521657068472,"Result For Procurement of tyre bolero tubeless ceat, tyre royal enfield rear with tube ceat, tyre scorpio tubeless ceat and other related items",central armed police forces,['GEM/2025/B/6197362'],,west bengal,Financial Evaluation,2025-05-26 00:00:00,M/S S.P. TYRE & TREADS,132640.0,L1,East,132640.0
https://app.palladium.primenumbers.in/result/detail/12730668521657068472,"Result For Procurement of tyre bolero tubeless ceat, tyre royal enfield rear with tube ceat, tyre scorpio tubeless ceat and other related items",central armed police forces,['GEM/2025/B/6197362'],,west bengal,Financial Evaluation,2025-05-26 00:00:00,BISWAS AUTOMOBILES LUBE,182780.0,L3,East,132640.0
https://app.palladium.primenumbers.in/result/detail/12730668521657068472,"Result For Procurement of tyre bolero tubeless ceat, tyre royal enfield rear with tube ceat, tyre scorpio tubeless ceat and other related items",central armed police forces,['GEM/2025/B/6197362'],,west bengal,Financial Evaluation,2025-05-26 00:00:00,saha multi traders,,,East,132640.0
https://app.palladium.primenumbers.in/result/detail/12730668521657068472,"Result For Procurement of tyre bolero tubeless ceat, tyre royal enfield rear with tube ceat, tyre scorpio tubeless ceat and other related items",central armed police forces,['GEM/2025/B/6197362'],,west bengal,Financial Evaluation,2025-05-26 00:00:00,A.V. TRADE VENTURES,,,East,132640.0
https://app.palladium.primenumbers.in/result/detail/12730668521657068472,"Result For Procurement of tyre bolero tubeless ceat, tyre royal enfield rear with tube ceat, tyre scorpio tubeless ceat and other related items",central armed police forces,['GEM/2025/B/6197362'],,west bengal,Financial Evaluation,2025-05-26 00:00:00,POOJA ENTERPRISES,148250.0,L2,East,132640.0
https://app.palladium.primenumbers.in/result/detail/6930010698259048940,"Household Refrigerating Appliances as per IS 17550, Household Refrigerating Appliances as per IS 175",central armed police forces,['GEM/2025/B/6217946'],,meghalaya,Financial Evaluation,2025-05-24 00:00:00,CHANDRA OVERSEAS,16029710.0,L1, ,16029710.0
https://app.palladium.primenumbers.in/result/detail/6930010698259048940,"Household Refrigerating Appliances as per IS 17550, Household Refrigerating Appliances as per IS 175",central armed police forces,['GEM/2025/B/6217946'],,meghalaya,Financial Evaluation,2025-05-24 00:00:00,K.A.ENTERPRISES,16289235.0,L3, ,16029710.0
https://app.palladium.primenumbers.in/result/detail/6930010698259048940,"Household Refrigerating Appliances as per IS 17550, Household Refrigerating Appliances as per IS 175",central armed police forces,['GEM/2025/B/6217946'],,meghalaya,Financial Evaluation,2025-05-24 00:00:00,VNC ENTERPRISES,16095940.0,L2, ,16029710.0
https://app.palladium.primenumbers.in/result/detail/6930010698259048940,"Household Refrigerating Appliances as per IS 17550, Household Refrigerating Appliances as per IS 175",central armed police forces,['GEM/2025/B/6217946'],,meghalaya,Financial Evaluation,2025-05-24 00:00:00,DECKWARE INDIA PRIVATE LIMITED,,, ,16029710.0
https://app.palladium.primenumbers.in/result/detail/627666334547344702,Goods Transport Service – Per KM Based Service- Household/ Office; Open Body LCV Truck; 19 FT LCV,central armed police forces,"['GEM/2025/B/6071352', 'GEM/2025/R/490518']",,west bengal,Financial Evaluation,2025-05-23 00:00:00,BADRI PRASAD SHARMA,64800.0,L2,East,64680.0
https://app.palladium.primenumbers.in/result/detail/627666334547344702,Goods Transport Service – Per KM Based Service- Household/ Office; Open Body LCV Truck; 19 FT LCV,central armed police forces,"['GEM/2025/B/6071352', 'GEM/2025/R/490518']",,west bengal,Financial Evaluation,2025-05-23 00:00:00,BHOLA TRANSPORT SERVICES,64680.0,L1,East,64680.0
https://app.palladium.primenumbers.in/result/detail/1494971117844034457,Radio Network Analyzer,central armed police forces,"['GEM/2025/B/6144928', 'GEM/2025/R/490008']",,new delhi,Financial Evaluation,2025-05-22 00:00:00,INOX TECHNOLOGIES,12580500.0,L3,North,9985500.0
https://app.palladium.primenumbers.in/result/detail/1494971117844034457,Radio Network Analyzer,central armed police forces,"['GEM/2025/B/6144928', 'GEM/2025/R/490008']",,new delhi,Financial Evaluation,2025-05-22 00:00:00,CONET TECHNOLOGIES PRIVATE LIMITED,10036000.0,L2,North,9985500.0
