url,title,organisation,ref_no,tender_id,state,stage,status_update_date,company_name,bid_amount,bid_rank,region,result_bid_value
https://app.palladium.primenumbers.in/result/detail/13597058059001513466,Blanket for CAPFs,central reserve police force,['GEM/2025/B/6116861'],,maharashtra,Technical Evaluation,2025-06-05 00:00:00,,,,West,
https://app.palladium.primenumbers.in/result/detail/7867783176264918544,Entry and Mid Level Desktop Computer,central reserve police force,"['GEM/2024/B/5686785', 'GEM/2025/R/496157']",,assam,Financial Evaluation,2025-06-05 00:00:00,D R MERCANTILE,3421080.0,L1,East,3421080.0
https://app.palladium.primenumbers.in/result/detail/17068134478809892935,Textile Boots with Polymeric Sole ( Jungle Boots ) Conforming to IS 17861,central reserve police force,['GEM/2025/B/6188704'],,meghalaya,Technical Evaluation,2025-06-04 00:00:00,,,, ,
https://app.palladium.primenumbers.in/result/detail/16500646836233072258,Rucksack ( 30 Ltrs Capacity ) ( V2 ),central reserve police force,['GEM/2025/B/6190199'],,meghalaya,Technical Evaluation,2025-06-03 00:00:00,,,, ,
https://app.palladium.primenumbers.in/result/detail/11461602104485421180,Riot Control Helmet with accessories ( MHA ),central reserve police force,['GEM/2025/B/6144858'],,jammu and kashmir,Technical Evaluation,2025-06-03 00:00:00,,,,North,
https://app.palladium.primenumbers.in/result/detail/14646920172875432091,High Ankle Tactical Boot with Rubber- PU Sole ( V2 ) as per IS 17012,central reserve police force,['GEM/2025/B/6181831'],,manipur,Technical Evaluation,2025-06-03 00:00:00,,,, ,
https://app.palladium.primenumbers.in/result/detail/2297351501461906528,Light Weight Sleeping Bag ( Improved )- CAPF ( V2 ),central reserve police force,['GEM/2025/B/6168032'],,meghalaya,Technical Evaluation,2025-06-03 00:00:00,,,, ,
https://app.palladium.primenumbers.in/result/detail/2167684549542620236,"Bricks, 10mm stone aggregates, 20mm stone aggregates, 40mm stone aggregates, coarse sand, Fine sand, Moor",central reserve police force,['GEM/2025/B/6197505'],,telangana,Technical Evaluation,2025-06-03 00:00:00,,,,South,
https://app.palladium.primenumbers.in/result/detail/10364660694870460394,"Bricks, 10mm stone aggregates, 20mm stone aggregates, 40mm stone aggregates, coarse sand, Fine sand, Moor",central reserve police force,['GEM/2025/B/6195629'],,telangana,Technical Evaluation,2025-06-02 00:00:00,,,,South,
https://app.palladium.primenumbers.in/result/detail/2267377975675895060,T- Shirt Round Neck Disruptive Pattern ( MHA ),central reserve police force,"['GEM/2024/B/5324294', 'GEM/2025/R/493765']",,assam,Financial Evaluation,2025-06-02 00:00:00,K.K.K MILLS,980478.0,L2,East,979394.0
https://app.palladium.primenumbers.in/result/detail/2267377975675895060,T- Shirt Round Neck Disruptive Pattern ( MHA ),central reserve police force,"['GEM/2024/B/5324294', 'GEM/2025/R/493765']",,assam,Financial Evaluation,2025-06-02 00:00:00,PILKHUWA WATER PROOFING COMPANY PRIVATE LIMITED,979394.0,L1,East,979394.0
https://app.palladium.primenumbers.in/result/detail/8162288358773811682,Annual Maintenance service- EPABX System,central industrial security force,['GEM/2025/B/6288728'],,west bengal,Technical Evaluation,2025-06-02 00:00:00,ACCORD COMMUNICATIONS LIMITED,,,East,
https://app.palladium.primenumbers.in/result/detail/8162288358773811682,Annual Maintenance service- EPABX System,central industrial security force,['GEM/2025/B/6288728'],,west bengal,Technical Evaluation,2025-06-02 00:00:00,GENERIC SOLUTIONS,,,East,
https://app.palladium.primenumbers.in/result/detail/4471434804295231947,boot ankle textile jungle boot direct moulded pu sole in pairs,central reserve police force,['GEM/2025/B/6074269'],,west bengal,Technical Evaluation,2025-05-31 00:00:00,,,,East,
https://app.palladium.primenumbers.in/result/detail/12922304179434279951,Synthetic Web Equipment Improved Version ( MHA ),central reserve police force,['GEM/2025/B/6133624'],,bihar,Technical Evaluation,2025-05-31 00:00:00,,,,East,
https://app.palladium.primenumbers.in/result/detail/4283969673612432725,Repair and Overhauling Service- Refrigerators and Deep Freezer; Bosch and Samsung; Yes; Buyer Prem,central reserve police force,['GEM/2025/B/6219029'],,odisha,Technical Evaluation,2025-05-31 00:00:00,,,,East,
