url,title,organisation,ref_no,tender_id,state,stage,status_update_date,company_name,bid_amount,bid_rank,region,result_bid_value
https://app.palladium.primenumbers.in/result/detail/16905398213756728344,Reception centre/front office for existing  police station buildings in andhra pradesh,d ramachandra,['A74/2014-15'],,andhra pradesh,AOC,2015-02-06 00:00:00,drcd,1673122.27,L1,South,1673122.2
https://app.palladium.primenumbers.in/result/detail/487305661077987183,Reception centre/front office for existing police station buildings in andhra pradesh,k raghunatha redy,['A73/2014-15'],,andhra pradesh,AOC,2015-02-06 00:00:00,krnreddy2005,2033015.49,L1,South,2033015.5
https://app.palladium.primenumbers.in/result/detail/6002350149430967021,Construction of Police barrack and toilet block near Honorable Chief Minister of Andhra Pradesh camp residence at Tadepalli in Guntur Dist.,r b,['EE/R&B/GNT/27/2019-20 Dt:6.7.19'],284192,andhra pradesh,AOC,2019-09-28 00:00:00,JAVVAJI HARI BABU,2383273.75,L1,South,2383273.8
https://app.palladium.primenumbers.in/result/detail/18087274427400741933,"Providing External and Internal Electrical Installations to Police Barracks at the residence of Honble Chief Minister of Andhra Pradesh at Lotus Pond, Banjara Hills, Hyderabad.",r b,['NIT.No.AEE/Elec/R&B/GNT/53/2019-20 Dt 04.09.2019'],289300,andhra pradesh,AOC,2019-09-28 00:00:00,SHIVA ENTERPRISES,401811.77,L1,South,401811.78
https://app.palladium.primenumbers.in/result/detail/6290542260936092965,Markapur Municipality- Swatcha Andhra Corporation/ General Funds- Construction of Urinals near Town Police Station,municipalities andhra pradesh,['IFB No.94/2016-17'],112820,andhra pradesh,AOC,,Y P CHALAMA REDDY,174424.56,L1,South,174424.56
https://app.palladium.primenumbers.in/result/detail/4162690301103851563,Providing Road Safety Measures at Police Identified locations based on Accident data of 2019 to 2021 from Km. 40. 000 to Km. 221. 500 of Hyderabad- Vijayawada section of NH- 65 in the States of Telangana and Andhra Pradesh,national highways authority of india,['NHAI/PIU-HYD/Road Safety/2023'],2023_NHAI_142798_1,andhra pradesh,Financial Bid Opening,2023-03-15 00:00:00,Sri Balaji Associates,,,South,
https://app.palladium.primenumbers.in/result/detail/4162690301103851563,Providing Road Safety Measures at Police Identified locations based on Accident data of 2019 to 2021 from Km. 40. 000 to Km. 221. 500 of Hyderabad- Vijayawada section of NH- 65 in the States of Telangana and Andhra Pradesh,national highways authority of india,['NHAI/PIU-HYD/Road Safety/2023'],2023_NHAI_142798_1,andhra pradesh,Financial Bid Opening,2023-03-15 00:00:00,VEETRAG INFRADEVELOPERS PRIVATE LIMITED,,,South,
https://app.palladium.primenumbers.in/result/detail/7606323826398586401,"Providing Road Safety Measures as suggested by DRSC Committee, Chittoor District, Police department and APSRTC drivers identified locations based on past Accident data in the stretch from Km. 134. 890 to 172. 000 of Tamilnadu/ Andhra Pradesh Border- Nala",national highways authority of india,['NHAI/PIU-TPT/Road Safety/NLGP-AP/TN'],2023_NHAI_146734_1,andhra pradesh,Technical Evaluation,2023-03-24 00:00:00,B Subhagiri,,,South,
https://app.palladium.primenumbers.in/result/detail/7606323826398586401,"Providing Road Safety Measures as suggested by DRSC Committee, Chittoor District, Police department and APSRTC drivers identified locations based on past Accident data in the stretch from Km. 134. 890 to 172. 000 of Tamilnadu/ Andhra Pradesh Border- Nala",national highways authority of india,['NHAI/PIU-TPT/Road Safety/NLGP-AP/TN'],2023_NHAI_146734_1,andhra pradesh,Technical Evaluation,2023-03-24 00:00:00,Garrison Constructions,,,South,
https://app.palladium.primenumbers.in/result/detail/16668572016580845061,Construction of Drain from Andhra Pragathi Grameena Bank opp. to C. C. S Police Station west side in Kamma Palem in Division No. 7,municipalities andhra pradesh,"['701/2017-18, Dt.13.10.2017']",148182,andhra pradesh,AOC,,ALLA SRINIVASA RAO,837699.0,L1,South,837699.0
