Andhra Pradesh Police,,,
SN,item,count,ref_nos
1,reception centre/front office for existing  police station buildings in andhra pradesh,1,A74/2014-15
2,reception centre/front office for existing police station buildings in andhra pradesh,1,A73/2014-15
3,construction of police barrack,1,EE/R&B/GNT/27/2019-20 Dt:6.7.19
4,toilet block near honorable chief minister of andhra pradesh camp residence at tadepalli in guntur dist.,1,EE/R&B/GNT/27/2019-20 Dt:6.7.19
5,internal electrical installations to police barracks at the residence of honble chief minister of andhra pradesh at lotus pond,1,NIT.No.AEE/Elec/R&B/GNT/53/2019-20 Dt 04.09.2019
6,banjara hills,3,"NIT No. 06/EE/APBD/DB/2019-20/e-proc. Dt.27-07-2019, NIT.No.AEE/Elec/R&B/GNT/53/2019-20 Dt 04.09.2019, NIT No.05/EE/APBD/DB/2019-20/e-proc. Dt:27-07-2019"
7,hyderabad.,3,"34011/02/2016-17/HS.Misc, NIT.No.AEE/Elec/R&B/GNT/53/2019-20 Dt 04.09.2019, 31011/2/2016-2017/HS-W.(III)"
8,providing external,1,NIT.No.AEE/Elec/R&B/GNT/53/2019-20 Dt 04.09.2019
9,markapur municipality- swatcha andhra corporation/ general funds- construction of urinals near town police station,1,IFB No.94/2016-17
10,andhra pradesh,1,NHAI/PIU-HYD/Road Safety/2023
11,providing road safety measures at police identified locations based on accident data of 2019 to 2021 from km. 40. 000 to km. 221. 500 of hyderabad- vijayawada section of nh- 65 in the states of telangana,1,NHAI/PIU-HYD/Road Safety/2023
12,providing road safety measures as suggested by drsc committee,1,NHAI/PIU-TPT/Road Safety/NLGP-AP/TN
13,chittoor district,1,NHAI/PIU-TPT/Road Safety/NLGP-AP/TN
14,apsrtc drivers identified locations based on past accident data in the stretch from km. 134. 890 to 172. 000 of tamilnadu/ andhra pradesh border- nala,1,NHAI/PIU-TPT/Road Safety/NLGP-AP/TN
15,police department,1,NHAI/PIU-TPT/Road Safety/NLGP-AP/TN
16,construction of drain from andhra pragathi grameena bank opp. to c. c. s police station west side in kamma palem in division no. 7,1,"701/2017-18, Dt.13.10.2017"
17,providing rubber paint marking line to the newly formed road from a. u. high school gate to police officers mess andhra university visakhapatnam,1,UE(1)/E-PTN(11)/AU/VSP/2018-19
18,providing storm water drain along the newly formed road from the au high school gate to au convention center,1,UE(1)/E-PTN(14)/AU/VSP/2018-19
19,upto police messs andhra university visakhapatnam,1,UE(1)/E-PTN(14)/AU/VSP/2018-19
20,troop carrier police vehicles,2,"GEM/2021/RA/80819, GEM/2019/B/405279"
21,csr cctv for malkapuram police,1,18000745-HB-46002
22,renovation @ police colony wardh,1,17000083-HB-11357
23,restoration of drain from qtr no. a/75 to police u.p. school at upper police colony in ward no. 07.,1,MC(CMC)CTC_Div-II_No16/2017-18
24,construction of model police station building at police parade ground,1,NIT A174/2017-18
25,ongole of prakasam district. ( 2nd call ),1,NIT A174/2017-18
26,improvement to the police park in 25th division.,1,8/General/2018-19
27,repairs to police stadium at visakhapatnam city,1,57/EE/PHC/PHC-I/VSP/2018-19
28,toilets of police picket,2,"SO(C)/RA/e-tender/40/24-25/427 dt13.03.2024, SO(C)/RA/e-tender/42/24-25/432 dt18.03.2025"
29,laying of paver block inside police picket at ttk ocp under rajhara area.,1,SO(C)/RA/e-tender/42/24-25/432 dt18.03.2025
30,repair of rooms,2,"SO(C)/RA/e-tender/40/24-25/427 dt13.03.2024, SO(C)/RA/e-tender/42/24-25/432 dt18.03.2025"
31,laying of paver block inside police picket at ttk ocp under rajhara area,1,SO(C)/RA/e-tender/40/24-25/427 dt13.03.2024
32,tiruchanur police station at tirupati rural mandal,1,"8(9)/DM/2019-20, Dt.22-08-2019"
33,construction of two waiting halls in sv university campus police station,1,"8(9)/DM/2019-20, Dt.22-08-2019"
34,construction of three waitinghalls in thahsildar office,1,"8(8)/DM/2019-20, Dt.22-08-2019"
35,mr palli police station in tirupati urban mandal,1,"8(8)/DM/2019-20, Dt.22-08-2019"
36,east police station,1,"8(8)/DM/2019-20, Dt.22-08-2019"
37,tender for supply of forensic scientific equipment to ap police,1,STC/HYD/GID/2018-19/04
38,constructions of police buildings in sps nellore dist,1,A132/2014-15
39,construction of west police station building at tirupathi.,1,A69/2016-17
40,repairs to dar police room at tb dam,1,EE/HW&HLC/TBDAM/114/2017-18
41,constn. of police station bldg. at anantapur ( rural ),2,"37/OPHWC/2023-24, 30/OPHWC/2023-24"
42,balasore,2,"37/OPHWC/2023-24, 30/OPHWC/2023-24"
43,repairs to the coastal security police station at fishing harbour,1,"IENG/CP/EE(South)/T/09, dt.22.05.2019."
44,01 no aerostat to ap police,2,"STC/HYD/GID/2018-19/02, STC/HYD/GID/2018-19/01"
45,tender for supply of 01 no uav,2,"STC/HYD/GID/2018-19/02, STC/HYD/GID/2018-19/01"
46,other scientific equipment to ap police,1,STC/HYD/GID/2017-18/06
47,tender for supply of forensic analysis,1,STC/HYD/GID/2017-18/06
48,01 no uav to ap police,1,STC/HYD/GID/2017-18/05
49,tender for supply of 01 no aerostat,1,STC/HYD/GID/2017-18/05
50,supply of leather bags to svp national police academy,1,27011/11(II)/2015-16/HS.Stn
51,supplyof motorized ladders to s.v.p. national police academy.,1,34011/01/2016-17/HS-Misc
52,construction of police chowki in p. n. 5,1,MCM/PWD/NIT11/2015-16
53,of malkapur,1,MCM/PWD/NIT11/2015-16
54,construction of police station building at srikakulam of srikakulam dist,1,A5/2015-16
55,construction of police station building at padmanabham of visakhapatnam city,1,A 211/2018-19
56,repairs to police station building at pothkapally of ramagundam commissionerate.,1,NIT-04/ T.28/2018-19
57,urgent repairs to women police station building at kurnool,2,"T075/2017-18, T077/2017-18"
58,de- silting of police training college main drain,1,21/General Funds/2016-17/TO
59,construction of model police building at pm palem of visakhapatnam.,1,A98/2017-18
60,development of park at ii town police station beside,1,"21-8/General Fund/knl/SE&EE/18-19, dt.05-09-2018"
61,repairs to police station building at basanthnagar of ramagundam commissionerate.,1,NIT-04/ T.29/2018-19
62,repairs to police station building at julapally of ramagundam commissionerate.,1,NIT-04/ T.30/2018-19
63,urgent repairs to addl. supdt of police bunglow of kurnool,1,T074/2017-18
64,repairs to police staff quarters at kanchili of srikakulam district,1,49/EE/PHC/VSP 2017-18
65,cc road in police station road of 27th ward,1,"T.Notice No.9/2017-18, Dy.EE., Dt.04.05.2017-5"
66,improvment in footpath shankar mandir to police chouki in ward no. 3 ( a ),1,TMC/PRO/PWD/1891/2019-20
67,installation of gym equipments to svp national police academy,1,4994/HK4/2018-19/HS-SS
68,supply,31,"18011/5/2016-17/HS.Furniture, 10-DB_PHEWD-2020-21-917 dated 11.09.2020, T.No.03/2018-19/SE(W)/EE-V/DB Dt.25-04-2018 (Item-07), 330/SCC/2018-19, A62/2016-17, 31011/3/2016-2017/HS-W, Short Tender No: 91/2017-18/ Dt: 24-02-2018, 18011/3/2016-17/HS.Furn (2), Short Tender No: 88/2017-18/ Dt: 22-02-2018, 455/2017-18, Dt.24.5.17, 72/ADN/Mplty/Genl Funds/2016-17, 31011/1/2016-2017/HS-W., 31011/2/2016-2017/HS-W.(III), Short Tender No: 86/2017-18/ Dt: 22-02-2018, Short Tender No: 71/2017-18/ Dt: 16-02-2018, Short Tender No: 30/2018-19/ Dt: 02-03-2019, 493/TPT/GEN/16-17/TO,Dt:03-12-2016., E-Procurement Notice No.41/VMC-Engg/CDB/AE/2017-18/Rc.E3-142848/2017, Rc.No.EE3-146152/2017, 4994/HK4/2018-19/HS-SS, Short Tender No: 72/2017-18/ Dt: 16-02-2018, 4/2018-19/CE/EE-IX/VUDA, dt.06.06.2018, T.No.51/2017-18/SE(W)/EE-III(W)/DB Dt.20-12-2017(Item-05), Short Tender No: 74/2017-18/ Dt: 16-02-2018, GEM/2025/B/6010073, 267/SFC/ATO/MCK, P.E. (EnM)/MAGADH OCP/e-NIT/22-23/28, Short Tender No: 92/2017-18/ Dt: 24-02-2018, 31011/1/2016-2017/HS-W(II), A49/2017-18, Short Tender No: 87/2017-18/ Dt: 22-02-2018"
69,installation of cubicles for mctp building of national police academy,1,18011/3/2016-17/HS.Furn (2)
70,hyd,7,"34011/04/2016-17/HS.Misc, 34011/03(II)/2016-17/ HS. Misc, 30011/04/2016-17/HS.SG (I), 34011/03/2016-17/ HS. Misc, 26011/14/2016-17/HS-OM, 25011/1/2016-17/HS-Sadd., 26011/14/2016-17/HS-OM(i)"
71,supply of portable toilets to svp national police academy,2,"34011/03(II)/2016-17/ HS. Misc, 34011/03/2016-17/ HS. Misc"
72,supply of expendable items for svp national police academy,1,34011/04/2016-17/HS.Misc
73,barricades ( csr- 20 ),2,"nan, 685925143847245293"
74,supply & installation of prefabricated police picket,2,"nan, 685925143847245293"
75,construction of toilets,4,"Short TN.No. 21/2016-17, Dt. 27-08-2016, Short TN.No. 45/2016-17, Dt. 13-12-2016, Short TN.No. 20/2016-17, Dt. 27-08-2016, 554/GF/ATO-III/MCK"
76,urinals at taluka police station in balaji nagar.,1,554/GF/ATO-III/MCK
77,construction of model police station building at kanaganapalli of ananthapuramu dist,1,A272/2017-18
78,construction of police station building at vidavaluru of sps nellore district,1,A151/2016-17
79,construction of fortified police station building at a. annavaram of visakhapatnam district,1,A323/2018-19
80,construction of model police station building at narsipatnam of visakhapatnam district.,1,A99/2017-18
81,supply of iron stoppers to traffic police in ongole municipal corporation,1,"499/2017-18, Dt.24.06.2017"
82,construction of police station building at dhone ( rural ) of kurnool district.,1,A16/2016-17
83,construction of model police station building at atukuru of vijayawada city,1,A327/2017-18
84,repairs to police guest house building at parvathipuram of viziangaram district,1,NIT No 3
85,laying of 110mm dia pipelines to police colony in division no. 31.,1,"NIT No.297/NMC/DB/GEN/2016-17, Dt:22.9.2016."
86,reparis to town police station building at parvathipuram of vizianagaram district,1,NIT No 7
87,sds- 2018- 19- development of police park in palamaner municipality,1,161/435/2013/E1
88,renovation of boac track at district police training centre of kurnool,1,T036/2017-18
89,construction of fortified police station building at paderu of visakhapatnam district,1,A324/2018-19
90,repairs to police station building at kalva srirampur of ramagundam commissionerate.,1,NIT-04/ T.32/2018-19
91,construction of model police station building at kadiri of ananthapuramu district.,1,A83/2018-19
92,construction of residential quarter for joint commissioner of police in visakhapatnam city.,1,A37/2018-19
93,construction of divider from rural police station to ankammatalli petrol bunk,1,18/E1/2018-19
94,construction of krishnalanka police station building at vijayawada of krishna district.,1,A04/2018-19
95,construction of model police station building at avanigadda of krishna district,1,A280/2017-18
96,20th division anantpauramu,1,152/2017-18/General Funds/TO
97,laying of bt roads in police quarters,1,152/2017-18/General Funds/TO
98,construction of police station building at gajulamandyam of tirupathi urban district.,1,A61/2016-17
99,construction of model police station building at mylavaram of krishna district.,1,A274/2017-18
100,construction of model police station building at panyam of kurnool district.,1,A92/2017-18
101,construction of model police station building at bobbili of vijayanagaram district,1,A101/2017-18
102,armo various electrical  mechanical equipments at saraswati vihar police station  police colony under aee m3521emd m352. sh moei  fans including rmo pumpsets,1,170  of 2015-16/PWD EMD M-352
103,hiring of one number suv to harbour police station without driver,1,59/21-22/IMEE/MII/Harbour Station Dt 22 10 21
104,concreting of road by utwt method at police line no 01 in ward no. 22.,1,TMC/PRO/PWD-NAU/1557/2019-20
105,repair,4,"NO.ITBP/12THBN/ENGG/2022-318, PE(EnM)/Pnd/NIT/2020-21/112, SOC/NK/eTender/19-20/215/1488, ITBP/12THBN/ENGR/ARM/2022-341"
106,maintenance of police picket at dhamdhmiya under rohini project,1,SOC/NK/eTender/19-20/215/1488
107,nk area.,6,"PO/RH/e-Tender/33/21-22/1963, PE(EnM)/Pnd/NIT/2020-21/112, PE(EnM)/Pnd/NIT/2020-21/113, PO/PND/EnM/e-NIT/2022-23/ 21, SOC/NK/eTender/19-20/215/1488, PE(EnM)/Pnd/NIT/2020-21/108"
