select all,error
Central Public Procurement Portal,	https://eprocure.gov.in/eprocure/app
BHEL,	https://eprocurebhel.co.in/nicgep/app
COAL INDIA LTD.,	https://coalindiatenders.nic.in/nicgep/app
CPCL,	https://cpcletenders.nic.in/nicgep/app
IOCL,	https://iocletenders.nic.in/nicgep/app
NTPC,	https://eprocurentpc.nic.in/nicgep/app
MP,	https://mptenders.gov.in/nicgep/app
Haryana,	https://etenders.hry.nic.in/nicgep/app
Jharkhand,	https://jharkhandtenders.gov.in/nicgep/app
West Bengal,	https://wbtenders.gov.in/nicgep/app
Rajasthan,	https://eproc.rajasthan.gov.in/nicgep/app
GEM, error
