item,count,ref_nos
online tender for purchase of 1200 nos. delhi police memento for use in delhi police,1,"[""['217/CSA (Q-1A)/DCP/PANDL']""]"
embroidery version insignia of delhi police,1,"[""['GEM/2022/B/2254477']""]"
metal version insignia of delhi police,1,"[""['GEM/2022/B/2254477']""]"
lapel pin for de,1,"[""['GEM/2022/B/2254477']""]"
tender for the purchase of 2980 nos. winter jacket blue with scraf with monogram of delhi police for use in delhi police,1,"[""['507/CSA/QIV/DCP/PANDL/2019']""]"
delhi police insignia ( embroidery version ),1,"[""['GEM/2023/B/3647887']""]"
security audit of websites of delhi police,1,"[""['34484/Genl.(II)/Crime, dated16.11.2018']""]"
tender for purchase of commando dangries for use in delhi police,1,"[""['565/CSA(Q-IV)/DCPPANDL/2019']""]"
tender for purchase of nimh batteries for use in delhi police,1,"[""['V/69/15/DP/COM/NiMS BTRY-XTS-3000 AND 2500']""]"
cleaning water drainage lines of 877 nos delhi police quarters at sec 26 rohini delhi under dcp 1st bn delhi police delhi,1,"[""['06/DPHCL/ENGG/NIT/2022-23']""]"
new delhi. (sh- provision of temporary lighting arrangement at phq,1,"[""['41/EE(E)/PWD/EMDM-453/2011-12']""]"
delhi police bhawan at asaf ali road,1,"[""['41/EE(E)/PWD/EMDM-453/2011-12']""]"
delhi police bhawan asaf ali road,1,"[""['41/EE(E)/PWD/EMDM-453/2011-12']""]"
providing temporary lighting arrangement during delhi police raising day celebration-2012 at phq,1,"[""['41/EE(E)/PWD/EMDM-453/2011-12']""]"
delhi,95,"[""['26/2017-18/EMD M-351/EE(E)']"", ""['CE(W)/06']"", ""['09/EE/PWD/NWB-2/2019-20']"", ""['295/EE (E)/HMED East/PWD/GTBH/2022-23']"", ""['84/2022-23']"", ""['13/EE/PWD/NECBMD/M-222/19-20']"", ""['129 /EE (E)/PWD DHC and ND/Central /2017-18']"", ""['184/EE/CBMD-M321/2015-16']"", ""['64/EE/CBMD M-321/ 2016-17']"", ""['46/EE/NBD/PWD/2019-20(Recall)']"", ""['124 /EE(E)/ PWD /HMED(C) /2015-16']"", ""['191/DPHCL/ENGG/NIT/2024-25']"", ""['05/EE/PWD/N-W B-I/2019-20']"", ""['41/EE(E)/PWD/EMDM-453/2011-12']"", ""['12/EE/SRD Project Divn.-II/PWD/2016-17']"", ""['11/EE/CBMD M-321/ 2019-20']"", ""['31/EE/CBMD M-321/ 2016-17']"", ""['50/EE/PWD/NWB-2/2019-20']"", ""['196/DPHCL/ENGG/NIT/2024-25']"", ""['183/EE/CBMD-M321/2015-16']"", ""['14/EE/PWD/N-W B-I/2018-19']"", ""['54(06)/AE (E) M-4513/PWD DHCandND/C/2021-22/179']"", ""['73/EE/East Road(M-212)/PWD/2018-19']"", ""['09/EE/NR/PWD/21-22/Delhi']"", ""['21/2017-18/EMD M-351/EE(E)']"", ""['PM2B/T-8/2018-19/Toy Train']"", ""['16/EE/N.E.(M-222)/PWD/2020-21']"", ""['140 /EE (E)/PWD DHC and ND/Central /2018-19']"", ""['140/EE (E)/PWD DHC and ND/Central /2018-19']"", ""['35/EE(E)/PWDM253/2020-21']"", ""['14/EE/PWD/NECBM/M-222/2018-19']"", ""['73/EE/PWD/NWB-2/2019-20']"", ""['115/DD/HD-V/2016-17']"", ""['29/EE(E)/AE(E)-II/NWED/PWD/ 2025-26']"", ""['74/EE/PWD/NWB-2/2019-20']"", ""['RITES/CP/DP/Jyoti Nagar/20']"", ""['93/EE/CBMD M-321/ 2018-19']"", ""['16/ AE(E)/HC-5/HMED(C)/PWD/2023-24']"", ""['14/EE/HPD (East)/PWD/2022-23']"", ""['14/EE/CBMD M-432/2012-13']"", ""['29/CSA(Q-III)/DCP-PandL']"", ""['105/DPHCL/ENGG/NIT/2024-25']"", ""['83/EE/PWD/NWB-2/2018-19']"", ""['107/DPHCL/ENGG/NIT/2024-25']"", ""['06/EE(E)/HMED(C)/PWD/2022-23']"", ""['106/EE(E)/NWED/PWD/2016-17']"", ""['139/EE/CBMD M-321/ 2018-19']"", ""['99/EE/PWD/NWB/2021-22']"", ""['49/EE/CBMD M-321/ 2017-18']"", ""['26/AE(E)/HC-5/HMED(C)/ PWD/2019-20']"", ""['28/EE/CBMD M-321/ 2016-17']"", ""['12/EE/PWD/NWB-2/2020-21 (2ND CALL)']"", ""['437 /EE (E)/PWD DHC and ND/Central /2016-17']"", ""['S R19-26/EE(E)/NWEDPWD/2023-24']"", ""['Recall 200/EE E/PWD/DHC and ND/Central/2020-21']"", ""['178/EE(E)/NWED/PWD/2016-17']"", ""['58/EE/CBMD M-323/2013-14']"", ""['142/DPHCL/ENGG/NIT/2024-25']"", ""['11/EE/CBMD M-321/ 2020-21']"", ""['164/DPHCL/ENGG/NIT/2024-25']"", ""['16662']"", ""['44 /EE (E)/PWD DHC and ND/Central /2018-19']"", ""['09/EE/CBMD M-321/ 2019-20']"", ""['RITES/CP/DP/Jyoti Nagar/20/R1']"", ""['194/DPHCL/ENGG/NIT/2024-25']"", ""['19/EE/NBD/PWD/2025-26']"", ""['84/EE(E)/PWD EMD M-253/2016-17']"", ""['33/EE/CBMD M-321/ 2016-17']"", ""['20/2017-18/EMD M-351/EE(E)']"", ""['160/EE E/PWD/DHC and ND/Central/2021-22']"", ""['11/SE/PWD/CRMC M-21/M-222/2015-16']"", ""['200/EE E/PWD/DHC and ND/Central/2020-21']"", ""['237/AE(E)3512/PWD EMD M-351/14-15']"", ""['25/EE/PWD/NECBMD/M-222/2018-19']"", ""['367/2016-17/EMD M-351/EE(E)']"", ""['161/EE(E)/HMED(C)/PWD/2021-22']"", ""['126/EE/KKD Court Divn./PWD/NIT/2018-19']"", ""['182/EE/CBMD-M321/2015-16']"", ""['116/EE/CBMD M-321/ 2018-19']"", ""['41/EE/PWD/NWB-2/2020-21']"", ""['130/DPHCL/ENGG/NIT/2024-25']"", ""['29/EE/CBMD M-321/ 2016-17']"", ""['21/AE(E)/HC-5/HMED(C)/ PWD/2019-20']"", ""['15/EE/N.E.(M-222)/PWD/2021-22']"", ""['03/EE/SE/PWD/Project/2015-16']"", ""['29/EE/CBMD M-321/ 2018-19']"", ""['47/DPHCL/ENGG/NIT/2023-24']"", ""['103/EE/PWD/M-332(N)/2015-16']"", ""['133/EE(E)/HMED(C)/PWD/2019-20']"", ""['06/EE/PWD/NECBM/M-222/2017-18']"", ""['46/EE/NBD/PWD/2019-20 2nd Recall']"", ""['02/SE/PWD/Circle(NE)M/2018-19']"", ""['66/2011-12/EE/CBMD M-323/PWD']"", ""['22/EE/CBMD M-321/ 2016-17']"", ""['54/EE/N.E.(M-222)/PWD/2019-20']""]"
providing temporary lighting arrangement during delhi police raising day celebration- 2012 at phq,1,"[""['41/EE(E)/PWD/EMDM-453/2011-12']""]"
new delhi. ( sh- provision of temporary lighting arrangement at phq,1,"[""['41/EE(E)/PWD/EMDM-453/2011-12']""]"
providing heavy duty barricades for use in delhi police at parliament police station delhi,1,"[""['103/EE/CBMD M-433/2014-15']""]"
tender for purchase of various types of lubricants for the vehicles of delhi police.,1,"[""['656/CSA(Q-II)/PANDL/2020']""]"
tender for purchase of various items/ articles for use in delhi police.,1,"[""['606/CSA(Q-III)/PANDL/2020']""]"
tender for purchase of ceremonial uniform articles for use in delhi police,2,"[""['487CSA(Q-IV)DCP-PandL2018']"", ""['562/CSA(Q-IV)/DCPPANDL/2019']""]"
tender for purchase of various kot articles for use in delhi police,1,"[""['490/CSA(Q-IV)/DCP/PandL']""]"
purchase of various kot articles for use in delhi police,1,"[""['485/CSA(Q-IV)DCPPANDL']""]"
tender for the purchase of 540 nos blinkers for use in delhi police,1,"[""['214/CSA/Q1B/PANDL/2016']""]"
tender for purchase of various uniform articles for use in delhi police,1,"[""['226/CSA(Q-IV)/DCP-PANDL/2016']""]"
tender for purchase of 1000 nos memento for use in delhi police,1,"[""['119/CSA/Q-I/DCP/PandL/2015']""]"
pipe band of delhi police participating in the republic day parade2016,1,"[""['178/CSA(Q-IV)/DCP-PANDL/2015']""]"
purchase of various ceremonial dress articles for use of the contingent of delhi police,1,"[""['178/CSA(Q-IV)/DCP-PANDL/2015']""]"
brass,3,"[""['178/CSA(Q-IV)/DCP-PANDL/2015']"", ""['459/CSA/Q-IV)/DCP/PANDL/2018']"", ""['75/CSA(Q-IV)/DCPPANDL']""]"
pipe band of delhi police participating in republic day 2015,1,"[""['75/CSA(Q-IV)/DCPPANDL']""]"
tender for purchase of various ceremonial dress articles for use of the contingent of delhi police,1,"[""['75/CSA(Q-IV)/DCPPANDL']""]"
