GEM/2025/B/5782974, Gabion Box,Scantling,Scantling,Planks,Planks,Planks,Planks,PVC pipe,Ceramic Tiles,Non skid tile,Whi, END DATE: 20250204,  ITEM Gabion Box,Scantling,Scantling,Planks,Planks,Planks,Planks,PVC pipe,Ceramic Tiles,Non skid tile,Whi
GEM/2025/B/5796507, Non Skid Vertiifed Floor Tiles 600 Mm Into 600 Mm, Wall Tiles Bathroom 300 Into 200mm, Non Skid Floor, END DATE: 20250222,  ITEM Non Skid Vertiifed Floor Tiles 600 Mm Into 600 Mm, Wall Tiles Bathroom 300 Into 200mm, Non Skid Floor
GEM/2025/B/5964916, Providing and fixing tiled false ceiling of specified materials,Supply and fixing round shape 12 Wa, END DATE: 20250322,  ITEM Providing and fixing tiled false ceiling of specified materials,Supply and fixing round shape 12 Wa
GEM/2025/B/6220436, Pressed Ceramic Tiles (V2),Pressed Ceramic Tiles (V2),Pressed Ceramic Tiles (V2), END DATE: ,  ITEM Pressed Ceramic Tiles (V2),Pressed Ceramic Tiles (V2),Pressed Ceramic Tiles (V2)
GEM/2025/B/5927881, Pressed Ceramic Tiles (V2) (Q4), END DATE: ,  ITEM Pressed Ceramic Tiles (V2) (Q4)
GEM/2025/B/5852774, warmer for 100 plates, Water tank 1000 ltr capacity, LED ceiling light 9 inch dia round, Chequred tiles, END DATE: ,  ITEM warmer for 100 plates, Water tank 1000 ltr capacity, LED ceiling light 9 inch dia round, Chequred tiles
GEM/2025/B/5809140, S1 Bricks of size 19 cm x 9 cm x 9 cm of good quality and branded,S2 Non skid Floor Tiles 600 x 600, END DATE: ,  ITEM S1 Bricks of size 19 cm x 9 cm x 9 cm of good quality and branded,S2 Non skid Floor Tiles 600 x 600
GEM/2025/B/6059038, Prefab Hut / House of Size 6.10 M x 19.52 M (as per GeM\rDrawing) (Q3) , Prefab Toilet Block of Size 4.88 M x 7.32 M\r(As Per GeM Drawing) (Q3) , Prefab Hut / House of Size 6.10\rM X 7.32 M (as per GeM Drawing) (Q3) , Shuttering plates\r500mm by 1250 mm Under ground Sump , Shuttering plates\r300 mm by 1250 mm Under ground Sump , Shuttering\rplates 1000 mm by 1250mm Under ground Sump , MS pipe\r40 mm dia and 4 mm thick for shuttering 6point10 mtr\rlength , Double Coupler , Swivel Coupler , Nut and bolts with\rwasher for 12 mm dia 60 mm length for shuttering plates ,\rCheaqured tiles 300 by 300 , Class C MS pipe outside dia\r60point30 mm , Truss tie members MS pipe outer dia 48\rmm , MS Base Plate 320 mm by 300 mm by 10 mm thick ,\rISMC Channel 150mm by 75mm by 6mm 6 metre long ,\rHonda Engine GX160 with Vibrator shaft length 6 mtr dia 40\rNeedle , RM 80 Rammer with Honda Engine , Interlocking\rBlocks , Vitrified Tile , Chequired Tile 300 mm by 300 mm ,\rNon Skid Tile , White Cement , Nails , Binding Wire , PTMT\rflaot Valve High Pressure with High density plastic Ball ,\rReceptacle PVC , GI Pipe Bore 25mm , GI Pipe Bore 20mm ,\rGI Pipe Bore 50mm , Gate Valve GI Pipe 25 mm , Gate Valve\rGI Pipe 20 mm , Gate Valve GI Pipe 50 mm , PVC Pipe 4inch\rdia , DWC HDPE Pipe 63 mm Dia , Armoured heavy duty\relectric under ground cable size 50 sqmm by 3point5 core ,\rArmoured heavy duty electric under ground cable size 16\rsqmm by 2 core, END DATE: ,  ITEM Prefab Hut / House of Size 6.10 M x 19.52 M (as per GeM\rDrawing) (Q3) , Prefab Toilet Block of Size 4.88 M x 7.32 M\r(As Per GeM Drawing) (Q3) , Prefab Hut / House of Size 6.10\rM X 7.32 M (as per GeM Drawing) (Q3) , Shuttering plates\r500mm by 1250 mm Under ground Sump , Shuttering plates\r300 mm by 1250 mm Under ground Sump , Shuttering\rplates 1000 mm by 1250mm Under ground Sump , MS pipe\r40 mm dia and 4 mm thick for shuttering 6point10 mtr\rlength , Double Coupler , Swivel Coupler , Nut and bolts with\rwasher for 12 mm dia 60 mm length for shuttering plates ,\rCheaqured tiles 300 by 300 , Class C MS pipe outside dia\r60point30 mm , Truss tie members MS pipe outer dia 48\rmm , MS Base Plate 320 mm by 300 mm by 10 mm thick ,\rISMC Channel 150mm by 75mm by 6mm 6 metre long ,\rHonda Engine GX160 with Vibrator shaft length 6 mtr dia 40\rNeedle , RM 80 Rammer with Honda Engine , Interlocking\rBlocks , Vitrified Tile , Chequired Tile 300 mm by 300 mm ,\rNon Skid Tile , White Cement , Nails , Binding Wire , PTMT\rflaot Valve High Pressure with High density plastic Ball ,\rReceptacle PVC , GI Pipe Bore 25mm , GI Pipe Bore 20mm ,\rGI Pipe Bore 50mm , Gate Valve GI Pipe 25 mm , Gate Valve\rGI Pipe 20 mm , Gate Valve GI Pipe 50 mm , PVC Pipe 4inch\rdia , DWC HDPE Pipe 63 mm Dia , Armoured heavy duty\relectric under ground cable size 50 sqmm by 3point5 core ,\rArmoured heavy duty electric under ground cable size 16\rsqmm by 2 core
GEM/2025/B/5968136, PVC Union , Glue adhesive for PVC 50 ML , Sunmica Sheet\r08ft x 4ft , Fiver Flush door 3ft x 7ft with frame , Steel\rCharpoy , Floor Tiles Size 1ft x 1ft , White Cement ,\rPrecoated Corrugated galvanized sheet 10ft x 3ft, END DATE: 20250403,  ITEM PVC Union , Glue adhesive for PVC 50 ML , Sunmica Sheet\r08ft x 4ft , Fiver Flush door 3ft x 7ft with frame , Steel\rCharpoy , Floor Tiles Size 1ft x 1ft , White Cement ,\rPrecoated Corrugated galvanized sheet 10ft x 3ft
GEM/2025/B/6125333, Wooden Planks size 12 inch x 1 inch , Wooden Planks size\r12 inch x 1.6 inch , Translucent Glass Pane , Transparent\rGlass Panes , PVC flush door , Sliding bolt , Sliding bolts ,\rCurtain Bracket , Curtain Brackets , Curtain Bracket\rStainless Steel , MR Grade Plywood 8X4X19MM , MR Grade\rPlywood 8X4X19mm , MR Grade Plywood 8x4x6mm , MR\rGrade Plywood 8X4X12MM , MR Grade Plywood 8X4X12mm\r, Fevicol , Rubber adhesive , Rubber adhesive SR 998 ,\rEpoxy Adhesive , Sunmica White 8 ft x 4 ft x 1mm ,\rSunmica White , Sunmica Black 8 ft x 4 ft x 1mm , Sunmica\rTeak colour 8 ft x 4 ft x 1mm , Sunmica Teak colour , Glass\rputty , Glass Putty as per IS , Stable Bleaching Powder ,\rSand Paper No 200 , Sand Paper or Emery Paper No 200 ,\rPVC Wall plugs 15 mm , PVC Wall plug 15 mm , PVC Wall\rplugs 32 mm , PVC Wall plugs 35 mm , PVC Wall plugs 38\rmm , PVC Wall plugs 50 mm , PVC Wall plugs 63 mm , PVC\rWall plug 63 mm , Door stopper , Cotton Towel White ,\rSilicon Sealant Cartridges 500ml , Applicator Gun , 3Piece\rWood Chisel , 3Piece Wood Chisel Set , 319 mm Glass\rCutter , 319 mm Glass Cutter with Oil Dropper , Wood\rCutting Circular Saw , Wood Cutting Circular Saw Blade , MR\rGrade Particle board , Tile Cutting Blade 4 inch , Tile Cutting\rBlade 4 inches , Aluminium Oxide 150 Emery Cloth Plain ,\rAluminium Oxide 150 Emery Cloth , HDC 18310 Steel , HDC\r18310 Steel Cross, END DATE: ,  ITEM Wooden Planks size 12 inch x 1 inch , Wooden Planks size\r12 inch x 1.6 inch , Translucent Glass Pane , Transparent\rGlass Panes , PVC flush door , Sliding bolt , Sliding bolts ,\rCurtain Bracket , Curtain Brackets , Curtain Bracket\rStainless Steel , MR Grade Plywood 8X4X19MM , MR Grade\rPlywood 8X4X19mm , MR Grade Plywood 8x4x6mm , MR\rGrade Plywood 8X4X12MM , MR Grade Plywood 8X4X12mm\r, Fevicol , Rubber adhesive , Rubber adhesive SR 998 ,\rEpoxy Adhesive , Sunmica White 8 ft x 4 ft x 1mm ,\rSunmica White , Sunmica Black 8 ft x 4 ft x 1mm , Sunmica\rTeak colour 8 ft x 4 ft x 1mm , Sunmica Teak colour , Glass\rputty , Glass Putty as per IS , Stable Bleaching Powder ,\rSand Paper No 200 , Sand Paper or Emery Paper No 200 ,\rPVC Wall plugs 15 mm , PVC Wall plug 15 mm , PVC Wall\rplugs 32 mm , PVC Wall plugs 35 mm , PVC Wall plugs 38\rmm , PVC Wall plugs 50 mm , PVC Wall plugs 63 mm , PVC\rWall plug 63 mm , Door stopper , Cotton Towel White ,\rSilicon Sealant Cartridges 500ml , Applicator Gun , 3Piece\rWood Chisel , 3Piece Wood Chisel Set , 319 mm Glass\rCutter , 319 mm Glass Cutter with Oil Dropper , Wood\rCutting Circular Saw , Wood Cutting Circular Saw Blade , MR\rGrade Particle board , Tile Cutting Blade 4 inch , Tile Cutting\rBlade 4 inches , Aluminium Oxide 150 Emery Cloth Plain ,\rAluminium Oxide 150 Emery Cloth , HDC 18310 Steel , HDC\r18310 Steel Cross
GEM/2025/B/6060331, Prefab Hut / House of Size 6.10 M X 7.32 M (as per GeM\rDrawing) (Q3) , Prefab Hut / House of Size 6.10 M x 19.52 M\r(as per GeM Drawing) (Q3) , Concrete Roller Screed Paver 5\rMtr Paving Width , Concrete Cutting Machine Greaves , Saw\rBlade Segmented 14inch 4mm , Saw Blade Segmented\r14inch 6mm , Bull Float , Texturing Brush 4 ft , Chequered\rtiles 300 mm by 300 mm by 25 mm , 100 KVA Silent Diesel\rGenerator , Coloured roofing sheet 10 ft by 4 ft , Coloured\rroofing sheet 8 ft by 4 ft , Shuttering Plate 1m by 1m , MS\rPipe Nominal Dia 100 mm and 4point5 mm thick , MS Pipe\r40 mm and 4 mm thick for Purlin , MS Base plate, END DATE: ,  ITEM Prefab Hut / House of Size 6.10 M X 7.32 M (as per GeM\rDrawing) (Q3) , Prefab Hut / House of Size 6.10 M x 19.52 M\r(as per GeM Drawing) (Q3) , Concrete Roller Screed Paver 5\rMtr Paving Width , Concrete Cutting Machine Greaves , Saw\rBlade Segmented 14inch 4mm , Saw Blade Segmented\r14inch 6mm , Bull Float , Texturing Brush 4 ft , Chequered\rtiles 300 mm by 300 mm by 25 mm , 100 KVA Silent Diesel\rGenerator , Coloured roofing sheet 10 ft by 4 ft , Coloured\rroofing sheet 8 ft by 4 ft , Shuttering Plate 1m by 1m , MS\rPipe Nominal Dia 100 mm and 4point5 mm thick , MS Pipe\r40 mm and 4 mm thick for Purlin , MS Base plate
