title,count,organisations
( Fabrication of M & M Bolero Camper into Bullet Proof Resistance Vehicles,10,['border security force']
"0. 75mm Cooper wire, 1 mm cooper wire, 2. 5 mm cooper wire, 15 amp socket, PVC Tape Roll, 25 amp MCB, 32 Am",31,['border security force']
"0. 75mm Cooper wire, 1 mm cooper wire, 25mm cooper wire, 15 amp socket, PVC Tape Roll, 25 amp MCB, 32 Amp",19,['border security force']
"03090C0071N Sensor water temprature, 0305CB0041N Speed sensor mustang, 0311AAU00020N Oil seal PTFE, 05",13,['border security force']
"0310BM0111N Seal valve stem, 0312BAU00180N Thrust washer lower, 0311AAU00020N Oil seal rear PTFE, 0502",4,['border security force']
"05 HP Submersible motor pump Make Crompton Kirlosker ISI BIS, Sluice valve 100 mm Complete set ISI B",4,['indo tibetan border police']
08 Detachable obstacle for dog training,7,['indo tibetan border police']
"0801BAA01421N CLUCTH DISC ASSY, 0801CA0341N CLUCTH COVER ASSY, 0503CAA01081N FRONT HUB ASSY COMPLETE,",4,['indo tibetan border police']
"1 SQMM COPPER WIRE, 1. 5 SQMM COPPER WIRE, 2. 5 SQMM COPPER WIRE, 4 SQMM COPPER WIRE, FLEXIBLE WIRE, SOCKE",10,['border security force']
"1 SQMM FRLS COPPER CABLE, 1. 5 SQMM FRLS COPPER CABLE, 23 76 FLEXIBLE 2 CORE 1SQMM WIRE, 5 AMP PIANO SW",7,['border security force']
"1 bricks, 2 bricks, 3 cement, 4 cement, sand",4,['border security force']
"1 mm thick M S Door shutter of size 7 Feet X 3 Feet with door frame as per specification., 1 mm thic",4,['border security force']
"1. 0 Sqmm FR PVC Copper wire, 1. 5 Sqmm FR PVC Copper wire, 6 Amp Piano type non modular switch, 6 Amp P",7,['border security force']
"1. 5 MM COOPER WIRE, 6 MM 2 CORE ALUMINIUM WIRE, 2. 5 MM COOPER WIRE, 01 MM 2 CORE COOPER WIRE, LED BULB",4,['border security force']
1. Construction of 04 No’ s Plinth for PF Hut with PUF Panel ( Size 9. 76 Mtrs ( 32 Feet ) x 5. 50 M,7,['central reserve police force']
