,bihar,,,,,,,,
SN,title,organisation,ref_no,state,stage,status_update_date,company_name,bid_amount,result_bid_value
1,"Tender for Construction of balance work of Constable 4th grade family Qtr. 10B and Senior Officers Mess at Bihar Police Academy, Rajgir, District Nalanda, Bihar (Pkg. A)Civil, Electrical and Plumbing works.",engineering projects india limited,DLI/CON/685/492,bihar,AOC,08-12-2015,Raj Associates,140644387.1,140644384
2,CONSTRUCTION OF ROAD THROUGHT HOT MIX IN BRIJ BIHAR COLONY POLICE CHOWKI PARK H. NO 34 HARIPARVAT ZONE S. NO 87,directorate of local bodies,30-10-2018/NAGAR NIGAM/05-11-2018/22,bihar,Financial Bid Opening,05-12-2018,M/S KAILA DEVI CONSTRUCTIONS,1017503.2,990622
3,CONSTRUCTION OF ROAD FROM ASHYANA MORE AT JAWAHARLAL NEHRU MARG FLY OVER PILER NO 35 TO BMP 5 AND ARANYA BHWAN AT SHAHEED PIR ALI KHAN PATH PART II VIA BIHAR POLICE BUILDING CONSTRUCTION OFFICE FOR THE YEAR 2017- 18,road construction department,RCD/NCD/RE-03/2017-18,bihar,AOC,04-04-2018,Sincon Infrastructure Pvt. Ltd,15,15
4,Renewal of Mahuli Police chauki to Bihar Border link road,chief engineer pwd varanasi zone,3133/3A Date 18-03-2023,bihar,AOC,28-06-2023,DINESH CHANDRA MISHRA,2594979.2,2594979.2
5,"ZONE- 1 WARD NO. 87 BRIDGE, REPAIR AND DYEING OF THE PARK LOCATED NEAR THE POLICE POST IN BIHAR.",directorate of local bodies,14-07-2022/NAGAR NIGAM/20-07-2022/44,bihar,Financial Bid Opening,27-07-2022,nemichand and company,133452,133452
6,"Construction of one Temporary Guard Room for Jawans at Hqr- 215 Bn, CRPF, Police Lines, Malaypur, Jamui ( Bihar )- 811313",national security guard,L.VIII-01-2019-20-Q-ACALWEMS-1,bihar,Financial Evaluation,28-02-2021,MUSKAN SALE & SERVICE,687089.16,680605.4
7,"Construction of one Temporary Guard Room for Jawans at Hqr- 215 Bn, CRPF, Police Lines, Malaypur, Jamui ( Bihar )- 811313",national security guard,L.VIII-01-19-20-Q-ACALWEMS-2,bihar,Financial Evaluation,28-02-2021,MUSKAN SALE & SERVICE,688709.67,680605.4
8,ARM OF NON RESIDENTIAL BUILDING CIVIL AND ELECTRICALS MAINTENANCE FOR THE YEAR 2020 21 AT BHQ OF 48BN ITB POLICE KATIHAR BIHAR,national security guard,itbp/48bn/pnr/381,bihar,Financial Bid Opening,12-01-2021,SAH ENTERPRISE,352925,277714.5
9,ARM OF RESIDENTIAL QTRS CIVIL and ELECTRICAL MAINTENANCE FOR THE YEAR 2020- 21 AT bhq of 48th bn itb police katihar bihar,national security guard,ITBP/48BN/PNR/ARM/380,bihar,Financial Bid Opening,12-01-2021,SAH ENTERPRISE,249655,205747
