MP Police,,
item,count,ref_nos
sulabh complex toilet at commandant c. t. i. homeguard mangeli,1,02/2025-26 (2) Repairing Work of NGO Officer Mess and Sulabh Complex Toilet at Commandant C.T.I.
construction of simulator building at r a p t c,1,05/2021-22
construction work of women barrack at homeguard,1,18/2023-24 Women Barrck Seoni
exteranal electrification work for 80 quarter high rise building sirol distt gwalior,1,19/2021-22
upgradation work of kitchen at ngo mess 29th bn datia p/ f hdpe water tank at old qtr no 01 200 29 batalian datia,1,19/2019-20
addition,1,20/2020-21/1
construction of sulabh complex,1,P-1600-A
construction of semi urban thana building basae dist. datia,1,01/2020-21
construction of temporary barrack at bandhankhero distt. balaghat,1,12 / 219-20
reparing work of various places at ( 1 ) chowki sonewani. ( 2 ),1,14/2020-21
ceiling fan,1,SP/SJR/RK/1768/23
construction of civil defence office,1,38/2023-24
narsinghar,1,21/2023-24
khelgaon in front of iiitm,1,20/2024-25
768 highrise qtrs.,1,09/2023-24
construction of fortified of vulnerable police station at dewarbeli,1,06 / 2024-25
construction work of govt. model higher secondary school piprai district ashoknagar ( m. p. ),1,22/2022-23
control room campus toilet repairing,1,1535/23.05.2023CONTROL ROOM CAMPUS TOILET REPAIRIN
painting work of ph- type,1,25/2020-21
mahila desk at thana amla betul,1,15/2018-19
other repair work,1,04/2021-22
gurjar bardiya distt. mandsaur ( 11/ 0. 433 kv,1,NIT 27/2023-24_1
other equpment,1,65/13-12-2023
1h qtrs at community health center chakghat distt. rew,1,17/2018-19
special repair work thana cantt sagar.,1,12/2022-23
outpost machurda,1,14 / 2024-25
special repair work of painting,1,Sn/POLICE/NIWARI/RI/374/2023
construction of mahila desk at thana chapara distt seoni,1,20/2018-19
construction work,5,"7378, SP/Ujjain/RI/83A/2024, 706/2024-25, M-2706, SP/Ujjain/RI/85A/2024"
work of 33 k. v. line shifting at community health center joura district morena,1,15/2022-23
badoni distt. datia,1,04/2021-22
construction of additional work ( from saving ) 36th ir btn saf kanki,1,07 / 2021-22
result for exterior painting of gym,1,158/25
tender for housekeeping,1,PHQ/Building/19/A-2/81/2020
purchase of deep freezers (- 30oc ),1,FSL /STORE/PMS 2018-19/2019
other eqpts.,1,SP(R)/REWA/DISPO/337/2020 DATE-27/08/2020
construction of mahila desk at semariya dist rewa,1,26/2018-19
purchase of genotyping kit for complex paternity cases,1,FSL /STORE/SB/6C/2019
maintenance work of govt. model h. s. s. shivpuri,1,08/2022-23
e tender for catering services,2,"SCPH/STORE/D-363/2024, SCPH/STORE/D-138/2023"
construction of mahila desk at thana betul bazar betul,1,18/2018-19
construction of schedule of item for repair work of qrf barrack arms workshop,1,02/2020-21
purches for vehicle tyre,1,DCP/HQ/BPL/RI/820B/24
work bench ( 10kva load ),1,F-152/2020  Date 20/02/2020
shahdol,3,"02/2021-22 Repairing work of Qtr. No. F-01 to F-12, 08/2019-20_7, 08/2019-20_8"
repairing work of ngo qrts 07 08 14,2,"24/2020-21, 26/2020-21"
external electrification work for c. m. rise school,4,"NIT 25/2023-24_1, NIT 25/2023-24_2, NIT 27/2023-24_2, NIT 27/2023-24_1"
thana jaisinghnagar distt.- shahdol,1,10/2019-20_1 MAHILA DESK
reparing work of lat- bath for barracks at chowki dewarbeli,1,15 / 2020-21
ngo club qm658,1,NGOClub658
repairing work at thana jawar district sehore,1,01/2024-25
construction of grp pared manch at rrp line,1,S.R.P/BPL/SUBEDAR/LINE/1975
hourse rathaion arrangement in 2nd bn gwalior,1,2ndbnmtd_m_1477
08 constable residential qtrs. at thana campus waraseoni,1,11 / 2021 - 22
construction of urban thana at chunabhatti bhopal,1,36/2018-19
gandhi nagar,2,"15/2019-20/2, 11/2021-22"
fsl items ( freezers etc. ),2,"PHQ/15/GPC/4114-1/2022 BHOPAL DATED 13-7-2022, PHQ/15/GPC/4649-9/2021"
construction of stadium/ sports complex at garoth distt. mandsaur,1,NIT 23/2020-21_1
dabri,2,"13 / 2022-23, 02/2023-24"
stf dress,2,"T-1530, SQMT-1610"
under khelo india- youth games 2022 scheme repairing- renovation works at table tennis,1,16/2022-23
special repair work thana pawai panna,1,12/2022-23
