item,count,ref_nos
c- plan mobile application maintenance,1,"[""['UPDESCO/SW/2021/VKM037/R']""]"
support extension for uttar pradesh police.,1,"[""['UPDESCO/SW/2021/VKM037/R']""]"
annual maintenance of web based budget monitoring system software module developed for uttar pradesh police.,1,"[""['UPDESCO/SW/2020/NM013']""]"
scanning,3,"[""['UPLC/Software /2023-24/116']"", ""['UPLC/Software /2023-24/83-RT-01']"", ""['UPLC/Software /2023-24/83']""]"
upload eoffice for uttar pradesh police recruitment,2,"[""['UPLC/Software /2023-24/83-RT-01']"", ""['UPLC/Software /2023-24/83']""]"
promotion board,2,"[""['UPLC/Software /2023-24/83-RT-01']"", ""['UPLC/Software /2023-24/83']""]"
digitization of records including indexing,3,"[""['UPLC/Software /2023-24/116']"", ""['UPLC/Software /2023-24/83-RT-01']"", ""['UPLC/Software /2023-24/83']""]"
meta data entry of records,4,"[""['UPLC/Software/24-25/145']"", ""['UPLC/Software /2023-24/116']"", ""['UPLC/Software /2023-24/83-RT-01']"", ""['UPLC/Software /2023-24/83']""]"
maintenance of crime,1,"[""['GEM/2024/B/4598080', 'GEM/2024/R/321844']""]"
systems project for uttar pradesh police,1,"[""['GEM/2024/B/4598080', 'GEM/2024/R/321844']""]"
result for custom bid for services- custom bid for services request for proposal of development customization support,1,"[""['GEM/2024/B/4598080', 'GEM/2024/R/321844']""]"
criminal tracking network,2,"[""['GEM/2025/B/5951543']"", ""['GEM/2024/B/4598080', 'GEM/2024/R/321844']""]"
networking equipment for uttar pradesh police training directorate head quarter,1,"[""['UPLC/Software /2023-24/116']""]"
supply hardware,1,"[""['UPLC/Software /2023-24/116']""]"
upload e office,1,"[""['UPLC/Software /2023-24/116']""]"
result for software support services 2. 0- development customization support,1,"[""['GEM/2025/B/5951543']""]"
..,1,"[""['GEM/2025/B/5951543']""]"
maintenance services,1,"[""['GEM/2025/B/5951543']""]"
maintenance of project based services for crime,1,"[""['GEM/2025/B/5951543']""]"
systems uttar pradesh police; application software; implementation services,1,"[""['GEM/2025/B/5951543']""]"
tender for supply of stationery items in police commissioner office lucknow uttar pradesh.,1,"[""['L/07/2020']""]"
cost. of hostel building for 48 female in police line gonda uttar pradesh,1,"[""['05/UPPCL/GMC/e-tender/2023-24 Dated 31-05-2023']""]"
construction of proposed hostel building for 48 female in police line azamgarh uttar pradesh.,1,"[""['41/GM-1/UPPCL/2023-24/E-TENDER Dated-28.08.2023']""]"
construction of mahila hostel/ barrack for 24 persons at police line barabanki uttar pradesh,1,"[""['47/pan/cul/et/20-21  30.04.2020']""]"
construction of mahila hostel/ barrack for 24 persons at police line unnao uttar pradesh,1,"[""['878/pan/cul/et/19-20']""]"
construction of non- residential buildings of police training school to double its capacity at moradabad uttar pradesh india,1,"[""['298/General/Bhawan Cell/2023 dt. 02.03.2023']""]"
annual maintenance contract for cctv surveillance system in 1048 police stations 75 ssp sp offices of uttar pradesh at the up police technical services,1,"[""['SIL/AMC/2018-19/06']""]"
construction of hostel building for 8 female,4,"[""['11/UPPCL/GM/Zone-6/Noida/23-24 dt 07.06.2023']"", ""['14/UPPCL/GM/Zone-6/Noida/23-24 dt. 07.06.2023']"", ""['10/UPPCL/GM/Zone-6/Noida/23-24 dt 07.06.2023']"", ""['12/UPPCL/GM/Zone-6/Noida/23-24 Dt 07.06.2023']""]"
24 male police thana at jani district meerut,1,"[""['11/UPPCL/GM/Zone-6/Noida/23-24 dt 07.06.2023']""]"
uttar pradesh,12,"[""['11/UPPCL/GM/Zone-6/Noida/23-24 dt 07.06.2023']"", ""['14/UPPCL/PM-32/Aligarh/2022-23 Dated 02.07.2022']"", ""['10/UPPCL/GM/Zone-6/Noida/23-24 dt 07.06.2023']"", ""['41/UPPCL/GM-1/E-TENDER/2022-23 Dated-12.12.2022']"", ""['13/UPPCL/GM/Zone-6/Noida/23-24 dt 07.06.2023']"", ""['2816/GM.GKPZone/GKP unit-3 dt.06-01-2023']"", ""['12/UPPCL/GM/Zone-6/Noida/23-24 Dt 07.06.2023']"", ""['14/UPPCL/GM/Zone-6/Noida/23-24 dt. 07.06.2023']"", ""['77/UPPCL/PM-36/Noida/2022-23, DT, 21.11.2020']"", ""['16/UPPCL/GM/Zone-6/Noida/23-24 Dt 07.06.2023']"", ""['TS-4/2015(AMC)']"", ""['15/UPPCL/GM/Zone-6/Noida/23-24 Dt 07.06.2023']""]"
uttar pradesh. pin code- 273001,1,"[""['739/PAN/CUG/E-TENDER/19-20']""]"
construction of 32 person female hostel at police line district- gorakhpur,1,"[""['739/PAN/CUG/E-TENDER/19-20']""]"
construction of mahila hostel barrack for 32 persons at police line ayodhya sultanpur rai bareli,1,"[""['865/pan/cul/et/19-20']""]"
for 48 persons at police line lucknow uttar pradesh.,1,"[""['865/pan/cul/et/19-20']""]"
vivechna room police thana at behsuma at meerut,1,"[""['16/UPPCL/GM/Zone-6/Noida/23-24 Dt 07.06.2023']""]"
30 male,3,"[""['366/M-50/E-TENDER/RNN/2023  DATE 30.05.2023']"", ""['39/UPPCL/GM-1/E-TENDER/2022-23 Dated-09-12-2022']"", ""['16/UPPCL/GM/Zone-6/Noida/23-24 Dt 07.06.2023']""]"
construction of hostel building for 10 female,1,"[""['16/UPPCL/GM/Zone-6/Noida/23-24 Dt 07.06.2023']""]"
24 male in police thana at kotwali distt- ballia,1,"[""['41/UPPCL/GM-1/E-TENDER/2022-23 Dated-12.12.2022']""]"
construction proposed hostel building for 8 female,6,"[""['41/UPPCL/GM-1/E-TENDER/2022-23 Dated-12.12.2022']"", ""['59/UPPCL/GM-1/E-TENDER/2022-23 Dated-25.01.2023']"", ""['42/UPPCL/GM-1/E-TENDER/2022-23 Dated-12-12-2022']"", ""['39/UPPCL/GM-1/E-TENDER/2022-23 Dated-09-12-2022']"", ""['49/UPPCL/GM-1/E-TENDER/2022-23 Dated-07-01-2023']"", ""['47/UPPCL/GM-1/E-TENDER/2022-23 Dated-15-12-2022']""]"
engineering consultancy services for the construction of residencs building of new police station at gorai distt- aligarh,1,"[""['14/UPPCL/PM-32/Aligarh/2022-23 Dated 02.07.2022']""]"
architectural,2,"[""['14/UPPCL/PM-32/Aligarh/2022-23 Dated 02.07.2022']"", ""['15/UPPCL/PM-32/Aligarh/22-23, Dt. 16.07.2022']""]"
construction of residential buildings of police training school to double its capacity at meerut uttar pradesh india on epc basis,1,"[""['501/General/Bhawan Cell/2021 dt 12.03.2021']""]"
construction of residential buildings of police training school to double its capacity at gorakhpur uttar pradesh india on epc basis,1,"[""['1131/General/Bhawan Cell/2021 dt 28.07.2021']""]"
construction of 24 person female hostel/ barrack at police line district- basti,1,"[""['757/PAN/CUG/E-TENDER/2019-20 dt.-22.01.2020']""]"
uttar pradesh. pin code- 272001,1,"[""['757/PAN/CUG/E-TENDER/2019-20 dt.-22.01.2020']""]"
uttar pradesh. pin code- 272207,1,"[""['756/PAN/CUG/E-TENDER/2019-20 dt.-22.01.2020']""]"
construction of 24 person female hostel at police line district- siddharth nagar,1,"[""['756/PAN/CUG/E-TENDER/2019-20 dt.-22.01.2020']""]"
request for proposal for selection of agency for implementation of cctv surveillance system in all police stations of uttar pradesh,1,"[""['SIL/CCTV/2015-16/11']""]"
noc center at the up police technical services,1,"[""['SIL/CCTV/2015-16/11']""]"
establishing data center,1,"[""['SIL/CCTV/2015-16/11']""]"
construction of hostel building for 4 female,2,"[""['15/UPPCL/GM/Zone-6/Noida/23-24 Dt 07.06.2023']"", ""['13/UPPCL/GM/Zone-6/Noida/23-24 dt 07.06.2023']""]"
12 male,3,"[""['40/UPPCL/GM-1/E-TENDER/2022-23 Dated-09.12.2022']"", ""['15/UPPCL/GM/Zone-6/Noida/23-24 Dt 07.06.2023']"", ""['13/UPPCL/GM/Zone-6/Noida/23-24 dt 07.06.2023']""]"
vivechna room police thana at hastinapur district meerut,1,"[""['13/UPPCL/GM/Zone-6/Noida/23-24 dt 07.06.2023']""]"
24 male,15,"[""['51/UPPCL/GM-1/E-TENDER/2022-23 Date- 11-01-2023']"", ""['10/UPPCL/GM/Zone-6/Noida/23-24 dt 07.06.2023']"", ""['41/UPPCL/GM-1/E-TENDER/2022-23 Dated-12.12.2022']"", ""['59/UPPCL/GM-1/E-TENDER/2022-23 Dated-25.01.2023']"", ""['42/UPPCL/GM-1/E-TENDER/2022-23 Dated-12-12-2022']"", ""['06/UPPCL/GM-1/E-TENDER/2023-24 Dated-03.04.2023']"", ""['39/UPPCL/GM-1/E-TENDER/2022-23 Dated-09-12-2022']"", ""['12/UPPCL/GM/Zone-6/Noida/23-24 Dt 07.06.2023']"", ""['47/UPPCL/GM-1/E-TENDER/2022-23 Dated-15-12-2022']"", ""['49/UPPCL/GM-1/E-TENDER/2022-23 Dated-07-01-2023']"", ""['03/UPPCL/GM-1/E-TENDER/2023-24 Dated-03.04.2023']"", ""['63/GM-1/UPPCL/2023-24/E-TENDER Dated-25.10.2023']"", ""['367/M-51/E-TENDER/RNN/2023  DATE 30.05.2023']"", ""['14/UPPCL/GM/Zone-6/Noida/23-24 dt. 07.06.2023']"", ""['61/UPPCL/GM-1/E-TENDER/2022-23 Dated-14.02.2023']""]"
vivechna room police thana at kharkhoda district meerut,1,"[""['14/UPPCL/GM/Zone-6/Noida/23-24 dt. 07.06.2023']""]"
vivechna room police thana at daurala district meerut,1,"[""['12/UPPCL/GM/Zone-6/Noida/23-24 Dt 07.06.2023']""]"
vivechna room police thana at parikshitgarh district meerut,1,"[""['10/UPPCL/GM/Zone-6/Noida/23-24 dt 07.06.2023']""]"
vivechna room police thana at kithore district meerut,1,"[""['15/UPPCL/GM/Zone-6/Noida/23-24 Dt 07.06.2023']""]"
lucknow,15,"[""['1952/AC-5/46']"", ""['564/RNN/Unit-21 dated 14-08-2018']"", ""['795/RNN/High Court Unit-1 dated 18-12-2018']"", ""['796 /RNN/HC Unit-1 dated 18-12-2018']"", ""['406/RNN/High Court Unit 1 Dated 09-07-2018']"", ""['102/EUDC-II/2017-18']"", ""['291/RNN/High Court Unit 1 dated 23-5-2018']"", ""['UPDESCO/SW/2023/NM069']"", ""['UPDESCO/SW/2015/TP']"", ""['55 dated 20-02-2018']"", ""['272 /RNN/High Court Unit-1 Dated 17-05-2018']"", ""['320 Dated 14.12.2017']"", ""['16/ECTC/Lko/2020-21']"", ""['97/EUDC-II/2018-19']"", ""['787 /7CBW/17E/M/16  dt.17-06-16']""]"
annual maintenance of web enabled nominal roll software module for police technical services,1,"[""['UPDESCO/SW/2023/NM069']""]"
uttar pradesh.,13,"[""['51/UPPCL/GM-1/E-TENDER/2022-23 Date- 11-01-2023']"", ""['41/UPPCL/GM-1/E-TENDER/2022-23 Dated-12.12.2022']"", ""['59/UPPCL/GM-1/E-TENDER/2022-23 Dated-25.01.2023']"", ""['42/UPPCL/GM-1/E-TENDER/2022-23 Dated-12-12-2022']"", ""['UPDESCO/SW/2024/VKM232']"", ""['39/UPPCL/GM-1/E-TENDER/2022-23 Dated-09-12-2022']"", ""['UPDESCO/SW/2022/VKM099']"", ""['49/UPPCL/GM-1/E-TENDER/2022-23 Dated-07-01-2023']"", ""['47/UPPCL/GM-1/E-TENDER/2022-23 Dated-15-12-2022']"", ""['UPDESCO/SW/2023/NM069']"", ""['40/UPPCL/GM-1/E-TENDER/2022-23 Dated-09.12.2022']"", ""['15/UPPCL/PM-32/Aligarh/22-23, Dt. 16.07.2022']"", ""['61/UPPCL/GM-1/E-TENDER/2022-23 Dated-14.02.2023']""]"
head quarter,1,"[""['UPDESCO/SW/2023/NM069']""]"
vivechna room in police thana khejuri at ballia,1,"[""['39/UPPCL/GM-1/E-TENDER/2022-23 Dated-09-12-2022']""]"
vivechna room in police thana at sikandarpurdistt- ballia,1,"[""['47/UPPCL/GM-1/E-TENDER/2022-23 Dated-15-12-2022']""]"
construcion proposed hostel building for 8 female,1,"[""['39/UPPCL/GM-1/E-TENDER/2022-23 Dated-09-12-2022']""]"
vivechna room in police thana sukhpura at ballia,1,"[""['39/UPPCL/GM-1/E-TENDER/2022-23 Dated-09-12-2022']""]"
vivechna room in police thana bhimpura at ballia,1,"[""['49/UPPCL/GM-1/E-TENDER/2022-23 Dated-07-01-2023']""]"
vivechna room in police thana haldi at ballia,1,"[""['39/UPPCL/GM-1/E-TENDER/2022-23 Dated-09-12-2022']""]"
construcion proposed hostel building for 10 female,1,"[""['39/UPPCL/GM-1/E-TENDER/2022-23 Dated-09-12-2022']""]"
selection of a creative agency to establish data analysis,1,"[""['UPDESCO/SW/2022/VKM099']""]"
up under the guidance of police awas nigam,1,"[""['UPDESCO/SW/2022/VKM099']""]"
visualization cell for home department,1,"[""['UPDESCO/SW/2022/VKM099']""]"
construction of non- residential buildings of police training school to double its capacity at meerut uttar pradesh india on epc basis,1,"[""['501/General/Bhawan Cell/2021 dt 12.03.2021']""]"
noc at technical services hqrs,1,"[""['TS-4/2015(AMC)']""]"
comprehensive amc service provider for cctv system at police stations,1,"[""['TS-4/2015(AMC)']""]"
data center,1,"[""['TS-4/2015(AMC)']""]"
design engineering,4,"[""['1317/General/Technical Cell/2024 dated 31.01.2024']"", ""['1902/General/Bhawan Cell/2023 dt. 28.04.2023']"", ""['526/General/Technical Cell/2023 dt 13.09.2023']"", ""['1311/General/Technical Cell/2024 dated 31.01.2024']""]"
procurement of construction of non residential buildings of police training school at sitapur uttar pradesh india on epc basis,1,"[""['526/General/Technical Cell/2023 dt 13.09.2023']""]"
construction of residential buildings for shaheed gulab singh lodhi police training school at unnao uttar pradesh india on epc basis,1,"[""['123/General/Bhawan Cell/2023 dt 23.01.2023']""]"
vivechna room in police thana at revati distt- ballia,1,"[""['41/UPPCL/GM-1/E-TENDER/2022-23 Dated-12.12.2022']""]"
vivechna room in police thana at nagara distt- ballia,1,"[""['59/UPPCL/GM-1/E-TENDER/2022-23 Dated-25.01.2023']""]"
construction of proposed hostel building for 8 female,5,"[""['51/UPPCL/GM-1/E-TENDER/2022-23 Date- 11-01-2023']"", ""['06/UPPCL/GM-1/E-TENDER/2023-24 Dated-03.04.2023']"", ""['03/UPPCL/GM-1/E-TENDER/2023-24 Dated-03.04.2023']"", ""['63/GM-1/UPPCL/2023-24/E-TENDER Dated-25.10.2023']"", ""['61/UPPCL/GM-1/E-TENDER/2022-23 Dated-14.02.2023']""]"
vivechna room in police thana at bansdih distt- ballia,1,"[""['61/UPPCL/GM-1/E-TENDER/2022-23 Dated-14.02.2023']""]"
vivechna room in police thana at bairiya distt- ballia,1,"[""['51/UPPCL/GM-1/E-TENDER/2022-23 Date- 11-01-2023']""]"
vivechna room in police thana at sahatawar distt- ballia,1,"[""['41/UPPCL/GM-1/E-TENDER/2022-23 Dated-12.12.2022']""]"
vivechna room in police thana at phephna distt- ballia,1,"[""['42/UPPCL/GM-1/E-TENDER/2022-23 Dated-12-12-2022']""]"
vivechna room in police thana at narahi distt- ballia,1,"[""['41/UPPCL/GM-1/E-TENDER/2022-23 Dated-12.12.2022']""]"
construction proposed hostel building for 4 female,1,"[""['40/UPPCL/GM-1/E-TENDER/2022-23 Dated-09.12.2022']""]"
vivechna room in police thana tarawa at distt- azamgarh,1,"[""['40/UPPCL/GM-1/E-TENDER/2022-23 Dated-09.12.2022']""]"
vivechna room in police thana at dokati distt- ballia,1,"[""['42/UPPCL/GM-1/E-TENDER/2022-23 Dated-12-12-2022']""]"
construction of non residential buildings for shaheed gulab singh lodhi police training school at unnao uttar pradesh india on epc basis,1,"[""['124/General/Bhawan Cell/2023 dt 23.01.2023']""]"
vivechna room in police thana at bansdih road distt- ballia,1,"[""['61/UPPCL/GM-1/E-TENDER/2022-23 Dated-14.02.2023']""]"
01 block in chiluvatal thana campus at gorakhpur,1,"[""['2816/GM.GKPZone/GKP unit-3 dt.06-01-2023']""]"
01 block in police line,1,"[""['2816/GM.GKPZone/GKP unit-3 dt.06-01-2023']""]"
